index,detectedEmotion,emotion,emotionsList,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
2157,negative,positive,"[koperkowy, godzina, przypadek, ten, majonezowy, smaczny, ja, raz, plus]","[koperkowy, wizyta, sos, że, być, tak, zdarzać, kiedy, rewelacja, na, godzina, zapychać, myśleć, lokal, po, do, ponownie, przypadek, się, ten, majonezowy, smaczny, wybrać, moi, pierwsza, ja, a, kilka, odwiedzić, i, od, raz, plus, w, rzadko]",5.0,-0.06190476190476193,"Rzadko się zdarza, że po pierwszej wizycie myślę od razu kiedy odwiedzę lokal ponownie, a tak było w moim przypadku. Smaczne i do tego zapychające na kilka godzin - ja wybrałem Seitanex plus sosy majonezowy i koperkowy - rewelacja",39.0,35.0,9.0
2158,negative,positive,"[świeży, ten, prosty, warzywo, mięsny]","[świeży, co, rozdrabniać, ten, się, prosty, pieczywo, za, sos, nie, czy, być, miąć, dla, mieć, więcej, wiedzieć, warzywo, szczerze, bardzo, mięsny, kosztować, w, spróbować, dobre, po, jeszcze]",5.0,-0.1111111111111111,Nie ma się co rozdrabniać. po prostu burgery sa bardzo dobre. szczerze mowiac nie wiem czy będę jesc jeszcze mięsne po spróbowaniu tych :) Bardzo dobre pieczywo sosy świeże warzywa. Burger kosztował mnie 12zl. !!!! szczerze mowiac byl dla mnie duzo za duzy. w 100%...Więcej,45.0,27.0,5.0
2159,positive,positive,"[potrzeba, ten, świetny, miejsce, recykling, sok, miejsce, szybki, raz]","[warto, potrzeba, doskonale, w, do, ale, tylko, bułka, nie, lunch, ten, poczekać, tak, świetny, wyciskać, dla, masa, miejsce, i, na, herbatka, rodzaj, recykling, talerze, dodatki, sok, miejsce, szybki, mało, raz, siedzący]",5.0,0.016129032258064516,"Doskonale miejsce dla Wega i nie tylko ! Świetne bułki, rozne rodzaje burgerow i masa dodatków ! Do tego soki wyciskane i herbatki. Talerze eko do recyklingu. Świetne miejsce na szybki lunch. Mało miejsc siedzących ale warto i tak poczekać w razie potrzeby !",44.0,31.0,9.0
2160,neutral,positive,[],"[dobre, musieć, ale, super, dwa]",4.0,0.0,Dobre bezmiesne burgery ale zglodnialy wedrowiec musi zjesc conajmniej dwie weganskie bulyCieciorex super!,13.0,5.0,0.0
2161,positive,positive,"[porządek, ogólnie, plus, miejsce, duży]","[do, danie, jako, z, za, zbudować, teza, antresola, być, w, aż, zdecydowanie, być, porządek, na, polecać, czuć, ogólnie, przestrzeń, bardzo, plus, wynos, si, miejsce, na przykład, dobre, trochę, duży, siedzący]",4.0,0.01149425287356322,"Burgery dobre, aż za bardzo sycace. Pózniej czułam sie trochę cieżko. Myśle ze dużym plusem byłoby tez wiecej miejsc siedzących (jest np przestrzeń do zbudowania antresoli). Zdecydowanie polecam jako danie na wynos. Ogólnie - bardzo w porządku. :)",38.0,29.0,5.0
2162,positive,positive,"[sprawny, czas, każdy, minuta, nowo, pierwszy]","[razem, z, ale, za, obsługa, około, się, szczególnie, dwa, na, radzić, polecać, sprawny, to, bardzo, gdy, natomiast, czas, podczas, jedzenie, jedzenie, nie, każdy, wizyta, jeść, minuta, dostawać, zrobić, nowo, wynosić, przyjść, obsługa, oczekiwanie, dobre, zamawiać, dostać, pierwszy]",4.0,0.057432432432432436,"Podczas dwóch wizyt za każdym razem dostawałem bardzo dobre jedzenie (polecam szczególnie cieciorexa), natomiast obsługa za pierwszym razem nie bardzo radziła sobie ze sprawną obsługą --- gdy przyszedłem czas oczekiwania na zrobienie jedzenia wynosił około 20 minut, ale gdy je dostałem to nowo zamawiające osoby...Więcej",45.0,37.0,6.0
2163,negative,positive,"[czas, mały, ogólnie]","[wszystko, do, zawsze, tutaj, lunch, czas, syta, wyjątek, wpadać, i, na, polecać, mały, ogólnie, smacznie, z]",4.0,-0.0625,Czasem wpadam tutaj na lunch. Z małymi wyjątkami zawsze smacznie i do syta! Ogólnie polecam wszystkim!,16.0,16.0,3.0
2164,negative,positive,"[duży, ten, różnorodny, ściana, tutejszy, koktajl, hipsterski, niezły, zestaw, lekkostrawny, smaczny, wystrój, bez]","[mebel, duży, ten, typowo, moje, różnorodny, frytki, ściana, tutejszy, koktajl, hipsterski, cukier, być, porcja, ichni, niezły, polecać, obdrapać, zestaw, móc, po, lekkostrawny, w, tani, tofu, ser, całkiem, uwielbiać, smaczny, przekraczać, możliwości, i, zwłaszcza, wystrój, bez, zjedzenie, obsługa, z, większość]",4.0,-0.008547008547008544,"Uwielbiam tutejsze burgery, są różnorodne, smaczne i lekkostrawne (w większości). Polecam zwłaszcza ten z serem tofu. Porcje duże – zjedzenie zestawu burger + frytki przekracza moje możliwości.
Całkiem niezłe koktajle (po ichniemu: smufisy), bez cukru.
Wystrój typowo hipsterski: obdrapane ściany, tanie meble. Obsługa mogłaby być...Więcej",45.0,39.0,13.0
2165,positive,positive,"[ten, nowość, pyszny, inny, zdrowy, restauracja, pyszny, każdy]","[ten, spojrzenie, kojarzyć, por, nowość, pyszny, spróbować, mięso, być, inny, to, polecać, zdrowy, te, spragniony, chcący, wszystko, do, dzięki, zarazem, się, restauracja, nabrać, pyszny, każdy, i, oraz, wołowy, mi, wegański, z, coś]",5.0,0.06398809523809522,"Do tej pory burger kojarzył mi się z mięsem i to wołowym. Dzięki tej restauracji nabrałam innego spojrzenia.
Te burgery wegańskie są pyszne! Polecam każdemu spragnionemu nowości oraz wszystkim chcącym spróbować czegoś pysznego i zdrowego zarazem.",36.0,32.0,8.0
2166,positive,positive,"[następny, miła, udany]","[razem, następny, kiedy, wrócić, i, warszawa, miła, szybko, bardzo, rekomendacja, obsługa, chętnie, smacznie, odwiedzić, udany]",5.0,0.13333333333333333,"Szybko i smacznie, miła obsługa i bardzo udana rekomendacja. Chętnie wrócimy, kiedy następnym razem odwiedzimy Warszawę",16.0,15.0,3.0
2167,positive,positive,"[szczęście, czas, bar, smaczny, ten, restauracja, bat, świeży]","[szczęście, czas, czy, bar, smaczny, ten, maić, do, ziemniaczek, za, dużo, właściwie, restauracja, serwować, bardzo, mieć, lemoniada, pierwsza, wegański, a, dla, bat, i, świeży, wegetarianin, napotkać, polecać, wejść, lokal, nie, dobre]",5.0,0.1236559139784946,"Nie mając za dużo czasu weszliśmy do pierwszej napotkanej restauracji a właściwie baru dla wegetarian i mieliśmy szczęście. Bat serwuje bardzo smaczne wegańskie burgery, dobre ziemniaczki czy świeża lemoniadę. Polecamy ten lokal",32.0,31.0,8.0
2168,positive,positive,"[wspaniały, intrygujący, miejsce]","[warto, mięsko, wspaniały, godne, intrygujący, zdecydowanie, zwyciężyć, i, z, miejsce, ciecierzyca, dość, być, jednak, ciekawość, polecenie]",5.0,0.0625,Dość intrygujące miejsce. Lubie mięsko jednak ciekawość zwyciężyła i zdecydowanie warto było. Wspaniały burger z ciecierzycy. Miejsce godne polecenia.,19.0,16.0,3.0
2169,positive,positive,"[świeży, ten, zależność, sycący, pyszny]","[świeży, co, dodatki, ten, ale, trzeba, że, podpiec, koniecznie, spróbować, być, polecać, oferta, szczerze, bardzo, zmieniać, bułeczka, zależność, kotlet, w, się, nie, opisywać, uprzedzać, por, mieć, i, od, rok, niecodzienny, sycący, pyszny]",5.0,0.03645833333333333,"Nie ma co opisywać, tych burgerów trzeba koniecznie spróbować. Świeże podpieczone bułeczki, pyszne dodatki i niecodzienne kotlety. Oferta zmienia się w zależności od pory roku. Szczerze polecam, ale uprzedzam że burgery są bardzo sycące!",34.0,32.0,5.0
2170,positive,positive,"[zdrowy, świeży, sezonowy, plus, duży, pyszny]","[zdrowy, świeży, sezonowy, niebo, polecać, za, najbardziej, gęba, plus, jak, w, duży, odwiedzić, pyszny, urozmaicić]",5.0,0.1142857142857143,"pyszne, świeże, zdrowe, urozmaicone
niebo w gębie :)
duży plus za burgery sezonowe
jak najbardziej polecam odwiedzić!",17.0,15.0,6.0
2171,positive,positive,"[jaki, smaczny]","[jaki, kiedykolwiek, i, na, polecać, jak, w, definitywnie, smaczny, świat]",5.0,0.13333333333333333,Definitywnie najsmaczniejsze vege burgery jakie kiedykolwiek jadlam w Polsce jak i na świecie. Polecam!,14.0,10.0,2.0
2172,negative,positive,"[warzywny, inny, miejsce, dziwadło, kurczaczek, gorąco]","[warzywny, tutaj, żarcie, nie, inny, być, cieciorka, taki, miejsce, mieć, dziwadło, no, i, na, polecać, kasza, kurczaczek, niestety, wynos, jaglany, gorąco]",4.0,-0.14285714285714285,"No niestety nie ma tutaj kurczaczków jest cieciorka kasza jaglana i inne takie warzywne dziwadła
Polecam gorąco vege żarcie na miejscu i na wynos",24.0,21.0,6.0
2173,positive,positive,"[jaki, jeden, dobry, stały, okazja]","[jaki, warszawa, jeden, wrócić, punkt, dobry, jeść, z, pewno, na, tu, stały, miał, okazja, w, pobyt]",5.0,0.07916666666666666,Jeden z najlepszych burgerów jakie miałem okazję jeść. Stały punkt pobytu w Warszawie. Na pewno tu wrócimy 😀,18.0,16.0,5.0
2174,positive,positive,"[ten, ciekawy, pyszny, fantastyczny, każdy, miejsce, czas]","[do, porcja, frytka, odbiegać, klimat, ten, norma, z, nie, ciekawy, pyszny, podawać, fantastyczny, od, każdy, i, czego, miejsce, oczekiwanie, dodatki, chcieć, sos, czas]",5.0,0.18115942028985504,"Fantastyczni klimat miejsca, pyszne burgery z ciekawymi dodatkami, do tego każdy podawany z porcją frytek, salatką i sosami. Czas oczekiwania nie odbiegał od normy. Czego chcieć wiecej?",27.0,23.0,7.0
2175,negative,positive,"[parkingowy, szybki, nieduży, barn, docelowy, czas, posiłek, miejsce, wielki, minuta, miły, pozycja]","[parkingowy, można, do, szybki, przywitać, nieduży, barn, docelowy, cel, czas, posiłek, my, my, bardzo, miejsce, po, wielki, tym, odbyć, minuta, tablica, się, trafić, towarzystwo, kolejka, miły, i, szukać, pozycja, dotrzeć, w, kelner, z, udać]",5.0,-0.09803921568627452,"Do Barn Burger trafiłem z Majqlem i Normanem w celu odbycia szybkiego posiłku. Po 30 minutach szukania miejsca parkingowego udało nam się dotrzeć do miejsca docelowego. Przywitała nas nieduża kolejka i bardzo miły kelner. W tym czasie w towarzystwie wielkiej tablicy z pozycjami, można zastanowić...Więcej",45.0,34.0,12.0
2176,positive,positive,"[idealny, swój, dobry, czas, duży, niezły, ruch, sam, miejsce]","[idealny, swój, mieć, ale, frytki, klimat, nie, trzeba, stolik, dobry, czas, duży, być, poczekać, samo, i, zamówienie, na, organizacja, niezły, ruch, sam, miejsce, bardzo, dość, dobre, móc]",4.0,0.1395061728395062,"Same burgery bardzo dobre. Frytki niezłe, ale nie idealne. Samo miejsce ma swój klimat, ale organizacja zamówień mogłaby być lepsza. Dość duży ruch i czasem trzeba poczekać na stolik.",29.0,27.0,9.0
2177,positive,positive,"[smaczny, dobry, miejsce, gorąco]","[jedzenie, wart, oblegać, klimat, więc, smaczny, coś, świadczyć, dobry, miejsce, polecać, o, odwiedzenie, to, lokal, gorąco]",4.0,0.07916666666666666,"Dobry klimat, smaczne jedzenie. Miejsce warte odwiedzenia. Lokal oblegany więc o czymś to świadczy. Gorąco polecam!",16.0,16.0,4.0
2178,positive,positive,"[świeży, ten, dobry, duży, rozsądny, różny, opcja]","[chyba, do, warszawa, świeży, co, w, dobrze, wszystko, dużo, ten, dobry, duży, wybór, rozsądny, doprawić, cena, no, i, różny, tu, opcja, bardzo, mięsko, pisać]",5.0,0.1361111111111111,"Co tu dużo pisać: burgery chyba najlepsze w Warszawie :) duży wybór różnych opcji, do tego wszystko świeże. Mięsko bardzo dobrze doprawione. No i ceny rozsądne!",26.0,24.0,7.0
2179,positive,positive,"[bar, jeden, dobry, dobry, pan, dobry, ten, dobry]","[bar, jeden, albo, z, dobry, dobry, nie, pan, dobry, subiektywny, być, ten, a, dobry, i, lub, to, bardzo, truck, wygodnie, obok, opinia, pisać, z, rock, pizza]",5.0,0.14358974358974358,"Nie znosze pisać ze to jest najlepszy a burger albo to jest najlepsza pizza. Latwiej i wygodniej powiedziec, poniewaz jest to subiektywna z reguly opinia bardzo dobry lub jeden z najlepszych. Obok Burger Baru, Hard Rocka i tego Pana z food trucka z eko burgerami...Więcej",45.0,26.0,8.0
2180,positive,positive,"[głośny, piwo, przystępny, każdy, wyśmienity, krótki, czas, smak, ciekawy, ostry]","[głośny, można, wybór, spory, najbardziej, połączenie, jedynie, spory, tam, cena, piwo, pewno, na, przystępny, każdy, wyśmienity, iść, krótki, to, jak, taki, lubić, czas, smak, jedzenie, się, podobać, nie, najeść, co, i, ciekawy, mi, rytmy, ostry, muzyka, dość, oczekiwanie, dobre]",5.0,0.022649572649572645,"Jedzenie wyśmienite, burgery spore, na pewno można się najeść. Spory wybór ciekawych połączeń smaków, dobre piwa. Ceny jak najbardziej przystępne. Czas oczekiwania na jedzienie dość krótki. Jedynie co mi się nie podobało to muzyka. Nie każdy lubi taki głośne i ostre rytmy idąc tam z...Więcej",45.0,39.0,10.0
2181,positive,positive,"[jaki, świeży, ten, dobry, soczysty, miara, pikantny, lekko]","[jaki, świeży, dodatki, do, serwować, ten, hamburger, dobry, soczysty, chrupać, miara, jadło, i, bułka, polecać, posiłki, pikantny, lekko, mięso, w, szybko]",5.0,0.11587301587301588,"Najlepsze hamburgery jakie jadłem. Soczyste mięso, lekko chrupiące bułka i świeże pikantne dodatki.
Do tego w miarę szybko serwowane posiłki.
Polecam x 5!",23.0,21.0,8.0
2182,positive,positive,"[rewelacyjny, dobry, pyszny]","[dla, jedzenie, rewelacyjny, miąć, polecać, warszawa, więc, hamburger, jak, w, dobry, pyszny, tak]",5.0,0.2512820512820513,"Rewelacyjne hamburgery, pyszne jedzenie. Jak dla mnie najlepsze hamburgery w Warszawie... Tak więc polecam",14.0,13.0,3.0
2183,positive,positive,"[idealny, wielki, wolny, przepyszny, obłędny, mój]","[warto, a, idealny, bo, frytki, sos, całość, dopełniać, stolik, wielki, wolny, przepyszny, miąć, być, poczekać, być, zdecydowanie, dla, i, grube, kolejka, na, świetnie, obłędny, to, surówka, mięso, mój, w, apetyt, jak]",5.0,0.035679374389051804,"Warto poczekać w kolejce na wolny stolik, bo burgery są obłędne! Mój heart attack był przepyszny, mięso idealne. Jak dla mnie to zdecydowanie burgery na większy apetyt, a grube frytki, sosy i surówka świetnie dopełniają całości.",36.0,31.0,6.0
2184,positive,positive,"[świeży, pyszny, soczysty, pikantny, fantastyczny, miła]","[warto, do, świeży, zamówić, składnik, klimat, surówka, zajrzeć, spróbować, być, pyszny, i, soczysty, pikantny, bardzo, mięso, obsługa, fantastyczny, miła]",5.0,0.3508771929824561,"Zamówiony burger był pyszny, mięso soczyste, składniki świeże, surówka do burgera pikantna. Bardzo miła obsługa, warto zajrzeć i spróbować, klimat fantastyczny.",21.0,19.0,6.0
2185,positive,positive,"[smaczny, dobry, duży, beznadziejny]","[warszawa, wybór, jedzenie, miąć, tylko, frytki, sos, podać, smaczny, dobry, duży, beznadziejny, dla, i, nazwa, bardzo, w, dobre, szybko]",5.0,0.005263157894736847,"Jedzenie bardzo dobre, duży wybór burgerów (tylko nazwy beznadziejne), smaczne frytki i sosy. Szybko podane. Dla mnie najlepsze burgery w Warszawie.",21.0,19.0,4.0
2186,positive,positive,"[kuchnia, ten, piwo, doskonały, duży, typowy]","[a, do, dla, wybór, porcja, kuchnia, klimat, ten, piwo, lokal, doskonały, duży, gigantyczny, typowy]",5.0,0.0023809523809523786,"Doskonały burger, porcja gigantyczna a do tego duży wybór piwa. Klimat lokalu typowy dla tego kuchni",16.0,14.0,6.0
2187,neutral,positive,"[bez, jeden]","[zastanowienie, wołowe, zjeść, kawał, chcieć, na, tutaj, bez, to, jeden, lepsze, jak, z, miesić, wpadać]",5.0,0.0,Jedne z lepszych burgerów na mieście. Jak chcesz zjeść kawał wołowego to wpadaj tutaj bez zastanowienia.,16.0,15.0,2.0
2188,negative,positive,"[sam, idealny, szpetny, raz, ogromny, rewelacyjny, malutki, mój, jakikolwiek, minus, sezonowy, ciasno, pyszny]","[można, wybór, sam, idealny, warszawa, sos, hela, także, szpetny, raz, być, ogromny, jadło, samo, i, gęba, rewelacyjny, malutki, to, lepsze, mój, mięso, jakikolwiek, minus, ulubiony, nie, sezonowy, trochę, tyle, bułka, wysmażyć, o, jeżeli, ciasno, lokal, w, niebo, mówić, pyszny]",5.0,-0.07264957264957267,"Lokal malutki, trochę ciasno i tyle jeżeli można mówić o jakichkolwiek minusach. Burgery rewelacyjne, nie jadłem lepszych w Warszawie, wybór ogromny, są także burgery sezonowe. Mój ulubiony to szpetna hela - niebo w gębie, bułka idealna, samo mięso pyszne wysmażone w sam raz, sosy są...Więcej",45.0,39.0,13.0
2189,positive,positive,"[surowy, miękki, dobry, porządnie, sprawny, ten, smaczny, różowy, swobodny]","[można, dobrze, ale, frytki, sos, surowy, miękki, dobry, tak, porządnie, usmażyć, pewno, na, tu, polecać, lubić, jak, cena, do, w, sprawny, się, ten, za, surówka, smaczny, nie, wrócić, najeść, i, ilość, środek, lokal, obsługa, jednak, różowy, dobra, swobodny]",5.0,0.10460526315789474,"Polecam burgery! Dobrze usmażone, jednak miękkie i różowe w środku (ale nie surowe), tak, jak lubię. Do tego frytki, smaczne sosy i surówka. Dobra cena za dobrą ilość- można się porządnie najeść. Lokal swobodny, obsługa sprawna. Na pewno tu wrócę.",40.0,38.0,9.0
2190,positive,positive,"[zgoda, złoty, cały, złoty, czas, każdy, atmosfera, dobry, rodzinny, oko, plus, miła]","[warszawa, dodatki, zgoda, za, ogarnąć, salsa, czekać, cena, długo, na, złoty, cały, si, złoty, czas, każdy, do, w, dwa, nie, atmosfera, kolejka, dobry, rodzinny, fryta, oko, i, maja, lokal, picie, plus, obsługa, miła]",5.0,0.14444444444444446,"Najlepsze burgery w warszawie
maja dwa lokale na złotej i zgoda 5
Rodzinna atmosfera w burgerowni
cały czas kolejka ,do każdego burgera fryty coleslaw i salsa ceny ok za 30 zł picie burger plus dodatki
Obsługa miła i ogarnięta
nie czeka sie długo na jedzienie...Więcej",45.0,33.0,12.0
2191,positive,positive,"[wolne, inny, duży, typowy, miejsce, miejsce, czas, smaczny, oko, bar, bez, jasny, szał]","[można, ciężko, wybór, wolne, ale, przerwa, lepsze, inny, też, duży, typowy, cena, znaleźć, przy, miejsce, miejsce, czas, wśród, choćby, hamburger, gruziński, pobliże, w, coś, nie, popularny, smaczny, trakt, oko, obiadowy, młodzież, zjeść, bar, oszałamiać, bez, obsługa, jasny, szał]",4.0,0.007675438596491223,"Typowa hamburgerownia. Duży wybór hamburgerów, smaczne ale bez szału. Ceny też nie oszałamiają. Popularna wśród młodzieży, można zjeść coś w trakcie przerwy obiadowej. obsługa OK. Czasami ciężko znaleźć wolne miejsce. W pobliżu inne lepsze miejsca, choćby bar gruziński przy Jasnej.",40.0,38.0,13.0
2192,positive,positive,"[bogaty, duży, jeden, minus, pyszny, dobrany, smaczny, plus, wolne, miejsce, problem, miła]","[wszystko, zacząć, wybór, być, bogaty, z, tylko, sos, znalezienie, z, poziom, duży, jeden, minus, pyszny, dobrany, cena, smaczny, od, plus, oferta, wolne, miejsce, polecać, problem, racjonalnie, miła]",5.0,0.16419753086419753,"Zacznę od minusów:) jest tylko jeden: czesto jest problem ze znalezieniem wolnego miejsca.
Plusy: pyszne burgery, duży wybór, smaczne sosy, miła obsługa,lokalizacja.
Bogata oferta z racjonalnie dobranym poziomem cen. Polecam Wszystkim",31.0,27.0,12.0
2193,positive,positive,"[dobry, klimatycznie, wielgachny, mały, plus, porządny]","[cena, jedzenie, frytka, najbardziej, dobry, klimatycznie, także, piwko, wielgachny, mały, niszowy, na, polecać, lubić, bardzo, plus, jak, w, porządny, dobre, z]",5.0,0.04444444444444445,"Porządny wielgachny burger z frytkami :-)
Piwka niszowe z małych browarkow jak lubię najbardziej. Klimatycznie . Także bardzo na plus.
Dobre jedzenie w dobrej cenie . Polecam",27.0,21.0,6.0
2194,negative,positive,[duży],"[zawsze, frytka, taki, centrum, warszawa, cena, oraz, podawać, jak, w, surówka, dobre, z, sos, duży, większość]",4.0,-0.010416666666666666,"Dobre burgery w centrum Warszawy. Duże, zawsze podawane z frytkami, surówką oraz sosem. Ceny takie jak w większości burgerowni.",19.0,16.0,1.0
2195,positive,positive,"[idealny, wołowina, kobieta, męski, par, wychodzić, bar, złoto, miejsce, solidny, chłop]","[idealny, twoja, coś, zjeść, wołowina, niesamowity, kobieta, męski, par, wychodzić, dla, z, bar, d, złoto, buła, mięcho, miejsce, wchodzić, mimo, tyle, solidny, jeśli, chłop, lubić]",5.0,0.006666666666666671,Coś niesamowitego... wchodzę - męski bar z mięchem... wychodzę - idealne miejsce dla pary (mimo tylu chłopa) :D Jeśli Twoja kobieta lubi zjeść solidną bułę z wołowiną -> Złota 9!!!,30.0,25.0,11.0
2196,positive,positive,"[ten, sezonowy, serce, pozycja, złoty, pyszny, czas]","[do, warszawa, ten, spędzić, ale, wybór, frytki, na, sezonowy, moje, być, zdecydowanie, jeść, również, menu, wiele, podbić, serce, w, pozycja, wspaniale, złoty, pyszny, czas]",5.0,0.015277777777777776,"Jadłam wiele burgerów w Warszawie ale ten zdecydowanie podbił moje serce! Wiele pozycji do wyboru, burgery sezonowe również są w menu, pyszne frytki. Wspaniale spędzony czas na Złotej!",28.0,24.0,7.0
2197,positive,positive,"[jakiś, piwo, smak, wnętrze, barn, dobry, dobry, ten, szałowy, kuszący, pełny, miła]","[warszawa, wybór, spory, ale, niszowy, jakiś, że, być, co, wybrać, być, piwo, on, opinia, na, nazwać, to, bardzo, smak, zachęcić, wnętrze, barn, do, w, obiad, się, nie, dobry, dobry, ten, szałowy, lodówka, kuszący, pełny, obsługa, dobre, miła]",4.0,0.20810810810810806,"Zachęceni opiniami, że to najlepsze burgery w Warszawie wybraliśmy się do Barn Burger na obiad. Wybór spory, smaki kuszące, do tego lodówka pełna niszowych piw. Wnętrze nie jest jakieś szałowe. Obsługa miła. Co do burgerów - są bardzo dobre, ale nie nazwałabym ich najlepszymi w...Więcej",45.0,37.0,12.0
2198,positive,positive,"[przepyszny, dobry, każdy, raz, były, każdy, który]","[razem, a, warszawa, w, zjeść, przepyszny, dobry, za, każdy, miąć, zamawiać, raz, już, były, on, każdy, mega, i, według, tu, polecać, który, kto, wypasiony, trochę, lubić]",5.0,0.035897435897435916,"Bylem tu już 4 raz i za każdym razem burgery, które zamawiałem były przepyszne. Według mnie najlepsze burgery w Warszawie a trochę ich zjadłem. Mega polecam, każdemu kto lubi wypasione burgery.",31.0,26.0,7.0
2199,negative,positive,"[minus, barn, jedyny, dobry, jaki, pyszność]","[być, warszawa, zawsze, serwować, ale, minus, praktycznie, bezsprzecznie, wiadomo, być, barn, dwa, on, znaleźć, polecać, jedyny, to, się, wiele, lokal, móc, tym, w, obok, dobry, jaki, za, stoa, kolejka, mimo, jakość, i, że, pyszność, gdzie, lokal]",5.0,-0.02962962962962963,"Byłem w wielu lokalach gdzie serwowane są burgery w Warszawie - Barn Burger zawsze bezsprzecznie najlepszy! Jedynym minusem jaki mogę znaleźć to kolejki mimo dwóch lokali praktycznie obok siebie, ale wiadomo, że za tym stoi ich jakość i pyszność! Polecam!!!!",40.0,36.0,6.0
2200,positive,positive,"[dań, dobry, ten, smak, barn, głowa, typ, wszystek]","[wszystko, dań, wybór, z, dobry, ten, smak, barn, zdecydowanie, jakość, głowa, i, na, stolica, typ, to, bić, w, polecać, cena, lokal, wszystek]",5.0,0.06515151515151515,"Barn Burger to zdecydowanie najlepszy wybór ze wszystkich tego typu lokali w stolicy. Bije na głowę smakiem, cena i jakością dań. Polecam wszystkim!",23.0,22.0,8.0
2201,positive,positive,"[swój, smaczny, typowy, bar, soczysty, zacny, ciekawy, zależność, dostępny]","[dodatki, kilkanaście, ale, rodzaj, swój, zgodnie, hamburger, smaczny, hamburger, typowy, a, z, bar, wysmażyć, zamówienie, soczysty, od, zacny, bardzo, kategoria, ciekawy, dość, w, dodatki, dobre, te, zależność, dostępny]",4.0,0.1821428571428572,"Typowy bar z hamburgerami. Ale hamburgery bardzo zacne. Smaczne. Soczyste. Wysmażone zgodnie z zamówieniem. Dostępne w kilkunastu rodzajach, w zależności od dodatków. A dodatki te dość ciekawe. W swojej kategorii - bardzo dobre.",33.0,28.0,9.0
2202,positive,positive,"[prawdziwy, nieprzerwanie, dobry, domowy, mocny, ciekawy, kozak]","[warszawa, trzymać, prawdziwy, wracać, nieprzerwanie, dobry, lato, domowy, mocny, fryta, karta, d, i, od, limitować, ciekawy, stała, w, poziom, kozak]",5.0,0.08,"Najlepsze burgery w Warszawie ! Wracam nieprzerwanie od 5 lat i trzymają poziom. Ciekawe burgery limitowane, mocna stała karta, domowe fryty - kozak ! Prawdziwe guilty pleasure :D",28.0,20.0,7.0
2203,positive,positive,"[minus, pyszny, wolne, miła, miejsce]","[dużać, minus, podać, z, być, super, pyszny, porcja, wolne, więcej, zjeść, ilość, koleżanka, czego, mała, chcieć, miła, miejsce]",5.0,0.0925925925925926,"Zjadłyśmy z koleżanką pyszne burgery. Super podane, obsluga miła. Duża porcja. Czego chcieć więcej. Minusem jest mała ilość wolnego miejsca.",20.0,18.0,5.0
2204,positive,positive,"[głośny, przepyszny, minus, ja, świetny, miejsce]","[warszawa, ale, głośny, jedzenie, muzyka, przepyszny, minus, uwielbiać, osobiście, według, okay, super, ja, być, tak, świetny, chodzić, cena, mówić, i, na, o, to, niestety, jak, obsługa, jeśli, mało, miąć, miejsce]",5.0,0.06666666666666668,"Świetne burgery, ja osobiście uwielbiam - mamas papas dupas bladas.
Obsługa super, ceny według mnie jak na Warszawę są okay.
Minusy to głośna muzyka i mało miejsca - niestety.
Ale tak jak mówię, jeśli chodzi o jedzenie to przepyszne.",39.0,30.0,6.0
2205,positive,positive,"[sezonowy, pyszny, pierwszy, miejsce, godzina, różny, mąż, ciekawy, piękny]","[dużać, trzymać, cena, kotlet, sezonowy, kurczak, frytki, sałatka, pyszny, niezmiennie, pierwszy, być, miejsce, z, gruszka, godzina, więcej, i, na, różny, kompozycja, mąż, kanapka, tyle, ciekawy, czego, piękny, w, próbować, chcieć, knajpa]",5.0,0.17741935483870966,"Próbujemy z mężem różnych burgerów z różnych knajp i niezmiennie burgery z Barna są na pierwszym miejscu. Duża kanapka, ciekawe kompozycje (sezonowy WTF z gruszką i Sebik z kurczakiem pyszne). Kotlet 200g, frytki i sałatka w cenie. Tyle. Czego chcieć więcej ! Trzymają piękny poziom...Więcej",45.0,31.0,9.0
2206,positive,positive,"[daleki, smaczny, miejsce]","[warto, daleki, w, smaczny, ale, wpaść, podać, krzesło, zawieść, poszukiwanie, barowy, ząb, zjeść, trochę, nawet, środek, na, podróż, bardzo, miejsce, nie, chwila, mało, się, szybko, coś]",4.0,0.03353057199211045,"Wpadłem na chwile w poszukiwaniu czegoś na ząb na dalsza podróż. Nie zawiodłem się. Burger bardzo smaczny ,szybko podany. W środku trochę mało miejsca ale warto zjeść nawet na krześle barowym.",31.0,26.0,3.0
2207,negative,positive,"[dobry, życie, głośny, oko, zbyt, malusieńki, minus, kreatywny]","[wybór, muzyka, za, jedynie, dobry, super, być, życie, głośny, cena, oko, zbyt, nazewnictwo, malusieńki, w, wyjątkowo, minus, kreatywny]",5.0,-0.05925925925925925,"Najlepsze burgery w życiu. Wybór super, nazewnictwo wyjątkowo kreatywne. Ceny są ok. Jedynie malusieńki minus za zbyt głośną muzykę.",19.0,18.0,8.0
