detectedEmotion,emotion,lemmatisation,rate,text,words,wordsAfterLemmatisation,wordsFound
negative,negative,[],4.0,well,1.0,0.0,0.0
negative,negative,"[zawieść, zawieść, się, premiera, mieć, możliwość, zapoznać, się, muzyka, taka, tak, jak, jaka, reszta, móc, stwierdzić, że, być, sam, film, osoba, po, przeczytać, książka, jak, jaka, on, nie, widzieć, widzenie, jej, on, nawet, na, oczyć, oko, stwierdzić, że, być, to, ten, zwykły, porno, denny, ja, miąć, była, były, być, to, ten, jeden, jednać, dobry, lepsze, komedia, wat, niektóry, moment, taka, tak, jak, jaka, reszta, sala, on, nie, móc]",4.0,"Nie zawiodłam się.. :)                        Nie zawiodłam się! Przed premierą miałam możliwość zapoznania się z muzyką i tak jak reszta mogę stwierdzić, że jest rewelacyjna. A sam film? Część osób po przeczytaniu książki jak i nie widzenia jej nawet na oczy stwierdziła, że będzie to zwykłe porno z denną fabułą. Dla mnie była to jedna z lepszych komedii romantycznych. W niektórych momentach (tak jak i reszta sali) nie mogłam powstrzymać ...              ",69.0,68.0,14.0
negative,positive,"[ja, miąć, się, podobać, wiek, smaczny, sposobić, sposób, podać, odzwierciedlać, historia, opowiedzieć, wiek, książka, konkretnie, jej, on, częsty, część, dobrze, zagrać, on, nie, być, początkowo, przekonany, przekonać, do, Dakota, Johnson, jako, jaka, ale, mile, mil, mila, ja, miąć, zaskoczyć, taka, tak, oczekiwać, mocny, scena, łóżkowy, alba, albo, film, wysoki, lot, to, ten, dobrze, lepiej, aby, się, on, nie, wybierać, bo, być, to, ten, raczej, raczy, pozycja, lekki, ale, przy]",7.0,"A mnie się podobał :)                        Fajnie i w smaczny sposób podany film. Dobrze odzwierciedlający historię opowiedzianą w książce (a konkretnie jej 1 części). Aktorzy dobrze zagrali, nie byłam początkowo przekonana do Dakoty Johnson jako Anastasii, ale mile mnie zaskoczyła, Dornan tak samo. Kto oczekuje mocnych scen łóżkowych, albo filmu wysokich lotów to lepiej aby się nie wybierał, bo jest to raczej pozycja lekka, ale przy tym ...              ",66.0,69.0,12.0
negative,positive,"[pewnie, ci, ten, ty, zakompleksiony, zakompleksić, on, nie, wiedza, jak, jaka, kobieta]",6.0,"Ocena spada...na leb i szyje...                        To pewnie ci zakompleksieni mezczyzni,zazdrosni ,ktorzy nie wiedza jak dogodzic kobiecie :)              ",17.0,12.0,2.0
negative,positive,"[seans, coś, zabraknąć, on, nie, potrafić, powiedzieć, wszystek, tom, moja, mój, moje, przemyśleć, przemyślenie, na, temat, fenomen, ten, pozycja, tutaj, HyperText Transfer Protocol]",6.0,"Po seansie - czegoś zabrakło, nie potrafię powiedzieć czego.                        Przeczytałam wszystkie 3 tomy Greya (moje przemyślenia na temat fenomenu tej pozycji tutaj: http://www.filmweb.pl/film/Pi% C4%99%C4%87dziesi%C4%85t+twarz y+Greya-2015-655761/discussion /Jak+nie+zachwyca+kiedy+zachwy ca%2C+czyli+o+geniuszu+E.L.+Ja mes+s%C5%82%C3%B3w+kilka.,2586 548).Na premierę czekałam ze sporym entuzjazmem. Tym większym, że trailer wg mnie był ...              ",41.0,21.0,6.0
negative,negative,"[ja, być, go, on, chłopak, przeczytać, książka, oraz, widzieć, film, wcale, on, nie, być, on, taki, taka, zły, jak, jaka, on, po, prosty, moi, moja, mój, moje, zdanie, zdać, zrobić, trochę, trocha, pod, osoba, który, już, czytać, książka, bo, cały, pierwsza, pierwszy, część, musieć, się, zmieścić, wiek, godzina, choć, dużo, być, wyciąć, to, ten, być, fragment, kiedy, coś, ty, dzieje, dziać, użyty, użyć, on, nie, przypadkowo, kiedy, dzwonić, do, on, nie]",4.0,"A i ja będę go bronił.                        Tak. Jestem chłopakiem i przeczytałem książkę oraz widziałem film i wcale nie jest on taki zły jak mówią. Jest on po prostu moim zdaniem zrobiony trochę pod osoby, które już czytały książkę, bo (cała pierwsza część musiała się zmieścić w 2 godzinach) choć dużo jest wycięte to są fragmenty, kiedy coś cię dzieje (użyte nie przypadkowo :P) 'z dupy'. Np. kiedy Ana dzwoni do Chrisa. Nawet nie wiadomo ...              ",74.0,71.0,13.0
positive,negative,"[czy, producent, ten, tandeta, tenże, też, maić, maja, mieć, taka, taki, polewka, tępy, panienka, który, wydać, na, to, ten, kasa, żeby, zobaczyć, na, ekran, projektor, namiastka, swój, swoje, rojenie, ojciec, ocean, tym, ten, to, jak, jaka, on, szary, trafić, kiedyś, bez, beza, kiwnąć, kiwnięcie, palec, na, swój, swoje, książę, na, tym, ten, to, właśnie, klasyczny, skuteczny, mechanizm, opierać, się, sukces, to, ten, wszystek, wszyscy, to, ten, pokrój]",1.0,"Ciekawe czy producenci tej tandety też mają taką polewkę z tępych panienek, które wydały na to kasę                         żeby zobaczyć na ekranie projektora namiastkę swoich rojeń o tym jak one, szare przeciętniary, trafią kiedyś( bez kiwnięcia palcem) na swojego księcia miliardera... Bo na tym właśnie klasycznym i skutecznym mechanizmie opiera się sukces tego i wszystkich tego pokroju gniotów.              ",57.0,67.0,21.0
negative,negative,"[przereklamować, wieko, wiek, ocena]",1.0,"najbardzie przereklamowana ""kicha"" XXI wieku                        ocena 1/10 film który soba nic nie przedstawia  bo ani to erotyk ani żadna inna forma dramatu . Ot zwykłae zaspakajanie chorych fantazji bogatego człowieka  -- któremu wydaje sie że za pieniadze mozna kupić wszystko  . Wracając jednak do samego filmu to myślę że reżysem powinien  przeczytać kilkakrotnie ksiażkę  nim zabrał sie za kręcenie tego kiczu               ",61.0,4.0,1.0
negative,positive,"[żaden, film, aż, taka, tak, on, nie, spełnić, moi, moja, mój, moje, się, na, początek, seria, książkowy, być, literacko, ale, jakiś, przyczyna, wciągać, przeczytać, on, jeść, kobieta, jaki, znać, prosty, fajnie, się, to, ten, czytać, rozerwać, się, zrelaksować, być, mądry, on, nie, sądzić, coś, się, nauczyć, nawet, taka, tak, się, zachwycić, prosić, film]",7.0,"Dawno żaden film aż tak nie spełnił moich oczekiwań...                        Umówmy się na początek - seria książkowa ""50 twarzy Grey'a"" jest literacko mega-słaba, ale z jakiś przyczyn wciąga i przeczytało je 65 % kobiet, jakie znam? Po prostu - fajnie się to czytało, rozerwałam się, zrelaksowałam i tyle... Czy byłam mądrzejsza? No nie sądzę! Czy czegoś się nauczyłam? No nawet tak :-P . Czy się zachwyciłam? No proszę Was!A film? Był ...              ",70.0,53.0,8.0
negative,negative,"[znajomy, znajoma, zabrać, dziewczyna, na, Walentynka, wielki, nikt, się, on, nie, podobać, grać, gra, aktor, fabuła, napiąć, napięcie, muzyk, muzyka]",1.0,"Opinia                        Poszedłem ze znajomymi , zabraliśmy dziewczyny na Walentynki .Jedna wielka Tragedia , nikomu się nie podobał  , gra aktorów 1 , fabuła 1 , napięcie 1 , muzyka 5 .Pozdrawiam              ",31.0,20.0,6.0
negative,negative,"[książka, być, jak, jaka, czytanie, czytać, film, porno, cóż, więc, kręcić, kolejny, film]",1.0,"Czytanie książki ""Pięćdziesiąt twarzy Greya"" jest jak czytanie filmu porno                        Po cóż więc kręcić kolejny film?               ",16.0,13.0,1.0
negative,negative,"[aby, na, pewno, tylko, mama, mieć, mamić, nic, nica, do, książka, ani, do, film, chodzić, według, ja, miąć, wysoki, najwyższy, lot, dzieło, raczej, raczy, on, on, nie, maić, maja, mieć, ale, sporo, spora, do, ekipa, zajmować, zajmujący, się, wyskubać, dobry, książka, reszta, wypieprzyć, zrobić, film, czy, jak, jaka, to, ten, się, tam, tama, nazywać, móc, by, wyjść, wyjście, coś, taka, tak, to, ten, mama, mieć, po, prosty, drogi, ładnie, oprawić]",1.0,"Czy aby na pewno tylko polaczky hejcą?                         Nie mam nic do książki ani do filmu (chodź według mnie najwyższego lotu dzieł raczej one nie mają) ale sporo do ekipy zajmującej się projektem. Zamiast wyskubać najlepsze z książki resztę wypieprzyć i zrobić film ""na podstawie"" czy jak to się tam nazywa, mogło by wyjść coś przyjemnego...a tak to mamy po prostu drogiego, ładnie oprawionego pornosa. :)              ",65.0,70.0,12.0
negative,positive,"[typowy, polskie, polski, maruda, wczoraj, wiek, kino, kinąć, kin, kina, moja, mój, narzeczona, narzeczony, on, nie, dlatego, że, walentynka, walentynki, tylko, być, napalić, na, ten, film, ten, on, nie, przeczytać, książka, leczyć, leczo, lecz, moja, mój, narzeczona, narzeczony, tom, bardzo, dużo, mi, ja, boj, bój, boja, się, przyznać, bo, to, ten, przecież, wstyd, skoro, dużo, więcej, osoba, robić, się, jazda, po, tym, ten, to, film, że, bardzo, mi, ja, się, film, podobać, chęć, jeszcze, raz, wiek, domowy, zacisze, obejrzeć, go, on]",10.0,"typowe polskie marudy                        Byłem wczoraj w kinie z moją narzeczoną i nie dlatego że walentynki itd. tylko byliśmy napaleni na ten film tą ekranizacje. nie przeczytałem książki lecz moja  narzeczona 3tomy i bardzo dużo mi opowiadała. Nie boje się przyznać (bo to przecież wstyd skoro więcej osób robi sobie jazdę po tym filmie) ,że bardzo mi się film podobał i z chęcią jeszcze raz w domowym zaciszu obejrzę go z ukochaną. Nie ...              ",72.0,81.0,27.0
negative,negative,"[gniot, zarabiać, na, podsycać, wyobrażenie, tępy, panienka, który, chcieć, wierzyć, że, on, przeciętny, przeciętna, osoba, siedzieć, nic, nica, on, nie, robić, taka, tak, trafić, wiek, koniec, na, przystojny, tępy, miliarder, który, wyciągnąć, on, jeść, szary, mizerny, egzystencja, wyróżnić, jako, jaka, osoba, leczyć, tym, ten, to, sam, wszelki, on, mój, mieć, prosty, sposób, na, spustoszenie, spustoszeć, spustoszyć, portfel, tępy, panienka, on, rodzic, rodzice, nawet, chłopak, mąż]",1.0,"Tandetny gniot zarabiający na podsycaniu wyobrażeń tępych panienek                        które chcą wierzyć, że ich przeciętna osoba siedząc i nic nie robiąc i tak trafi w końcu na przystojnego, tępego miliardera, który wyciągnie je z szarej, mizernej egzystencji i wyróżni jako osoby, lecząc tym samym wszelkie ich kompleksy. Nie ma prostszego sposobu na spustoszenie portfeli tępych panienek, ich rodziców, a nawet chłopaków i mężów, niż ...              ",63.0,65.0,25.0
negative,positive,"[scena, seks, sex, sztuczność, on, nie, widzieć, nawet, wiek, film, porno, język, dziewczyna, oda, od, raz, dostawać, spazmy, spazm, ten, sztucznie, przyśpieszyć, przyśpieszony, Ciężka, się, to, ten, oglądać, to, ten, słuchać]",6.0,Zenujące sceny seksu                        Takiej sztuczności nie widziałam nawet w filmach porno! Muśnięta językiem dziewczyna od razu dostawała spazmów i ten sztucznie przyśpieszony oddech. Ciężko się to oglądało (i tego słuchało) Przesada...              ,31.0,31.0,11.0
positive,positive,"[uważać, że, jeżeli, ktoś, on, nie, czytać, książka, on, nie, oglądać, film, on, nie, powinien, się, przeczytać, wszystek, trzy, częsty, część, książka, zrozumieć, on, dopiero, po, przeczytać, film, moi, moja, mój, moje, zdanie, zdać, być, super, już, się, on, nie, móc, doczekać, kolejny, częsty, część, bardzo, pasować, do, postać, opisać, wiek]",10.0,"Obiektywna Ocena                         Ja uważam, że jeżeli ktoś nie czytał książki i nie oglądał filmu nie powinien się wypowiadać. Ja przeczytałam wszystkie trzy części książki i zrozumiałam ją dopiero po przeczytaniu całości. A film moim zdaniem jest super ! I już się nie mogę doczekać kolejnych części ! Aktorzy bardzo pasują do postaci opisanych w książce. Pozdrawiam !               ",57.0,51.0,6.0
positive,positive,"[tytuł, piosenka, ktoś, móc, może, jaka, jak, jaki, utwór, lecieć, podczas, lot, helikopter]",8.0,tytuł piosenki                        Wie ktoś może jaki utwór leciał podczas lotu helikopterem???              ,11.0,13.0,2.0
positive,positive,"[fajny, przyjemny, film, lubić, luby, film, romantyczny, to, ten, inny, zwykle, to, ten, si, mój, mieć, do, zdać, egzamin, moment, bohaterka, si, kto, ten, wiedzieć, on, taka, taki, mój, mieć, przy, on, teza, on, nie, zawsze, dobry, oda, od, być, opisać, on, być]",8.0,"fajna ksiazka, przyjemny film                        Jesli ktos lubi film romantyczny to polecam....Film inny niz zwykle to sie ma do romansów....Aktorzy zdali egzamin, momentami bylo smiesznie....zwlaszcza z glownej bohaterki mozna bylo sie posmiac..ale kto czytal ten wie ze ona wlasnie taka ma byc,....a Grey przy niej tez nie zawsze umial zachowac powage...Ksiazka lepsza od filmu....wiecej jest opisanych ich relacji....bardziej jest to ...              ",59.0,43.0,9.0
positive,positive,"[przeczytać, książka, zupełnie, przypadek, wybrać, się, na, film, który, zrobić, na, ja, miąć, duży, duha, wrazić, wrażenie, pomimo, że, on, nie, lubić, książka, ani, film, ojciec, ocean, tematyka, romantyczny, wielki, miłość, ciekawy, aktor, dobrze, zagrać, świetny, muzyk, muzyka, inny]",10.0,"POLECAM                        Ja przeczytałam książkę zupełnie przypadkiem i wybrałam się na film, który zrobił na mnie duże wrażenie pomimo, że nie lubię książek ani filmów o tematyce romantycznej, wielkich miłościach itp. Fabuła ciekawa, aktorzy dobrze zagrali, świetna muzyka i inne bajery. JEDNYM SŁOWEM POLECAM !              ",44.0,39.0,13.0
negative,positive,"[bardzo, dobry, na, prawda, mi, ja, się, bardzo, podobać, na, obejrzeć, go, on, jeszcze, kilka, raz, podczas, relaksować, się, picie, pić, pyszny, piwko, sok]",10.0,"bardzo dobry !                        na prawdę mi się bardzo podobał , na 100% obejrzę go jeszcze kilka razy podczas relaksowania się i picia pysznego piwka z sokiem :)))))              ",27.0,24.0,6.0
positive,positive,"[psychologiczny, punkt, zależeć, oda, od, odebrać, to, ten, film, oraz, ten, kto, widzieć, delikatnie, powiedzieć, tylko, żyto, żyć, życie, seksualny, wiek, książka, tylko, na, tym, ten, to, się, skupiać, niestety, być, to, ten, taka, tak, wiek, znaczny, się, Alo, Ali, Al, Ala, trzeba, pamiętać, dlaczego, taka, tak, być, mianowicie, ojciec, ocean, przeszłość, główny, duży, dużać, krytyka, krytyk, ale, czy, książka, czy, film, być, odległy, oda, od, rzeczywisty, świat]",8.0,"Film z psychologicznego punktu widzenia...                        Wszystko zależy od odebrania tego filmu oraz KSIĄŻKI, ten kto widzi, delikatnie powiem tylko życie seksualne w książce i tylko na tym się skupia, a niestety jest to tak w znacznej większości-to się zawiedzie. Ale trzeba pamiętać dlaczego tak jest, a mianowicie o przeszłości głównego bohatera. Jest duża krytyka, ale czy książka czy film jest odległy od rzeczywistego świata tak ...              ",65.0,68.0,14.0
negative,negative,"[bo, dziewczyna, chcieć, się, siedzieć, próbować, zasnąć, po, minuta, dać, że, się, wyjść, wynijść, wyniść, sala, powiedzieć, że, to, ten]",1.0,"Poszedłem bo dziewczyna chciała                        Starałem się, siedziałem, próbowałem zasnąć, po 45 minutach wyszedłem. Nie dałem rady. Myślałem że się pogniewa. Jednak wyszła z sali i powiedziała że to porażka.              ",29.0,20.0,3.0
negative,negative,"[taka, taki, niski, ocena, transwestyta, on, nie, wpuścić, na, film, bek, beka, bekać]",1.0,Co taka niska ocena?Feministek i transwestytów nie wpuszczona na film?                         beka              ,11.0,13.0,4.0
negative,positive,"[dla, ja, miąć, film, całkiem, Książki, Książek, jako, jaka, taki, on, nie, czytać, więc, on, nie, wiedzieć, czym, co, być, miecić, mieść, mieć, do, czynić, czynienie, ale, jak, jaka, się, okazać, film, wywołać, na, ja, miąć, pozytywny, być, krytykować, ten, co, pisać, że, to, ten, gówno, alba, albo, on, nie, polecać, bo, on, nie, odzwierciedlać, książka, ojciec, ocean, gust, si, on, nie, rozmawiać, wat, moi, moja, mój, moje, przypadek, dawać, ten, odsłona]",9.0,"Polecam                         Jak dla mnie film całkiem dobry. Książki jako takiej nie czytałem więc nie wiedziałem z czym będę mieć do czynienia, ale jak się okazało film wywołał na mnie pozytywne emocje. Nie będę krytykować tych co piszą że to gówno, albo nie polecają bo nie odzwierciedla książki ( o gustach sie nie rozmawiam). W moim przypadku daje tej odsłonie 8.5/10, ale strasznie zawiodłem się końcówką bo myślałem że się zejdą czy ...              ",71.0,72.0,11.0
positive,positive,"[cały, trylogia, uważać, że, dobór, główny, aktor, być, trafić, wiek, genialny, taka, tak, jak, jaka, on, nie, móc, się, doczekać, częsty, część]",10.0,"Ocena                        Przeczytałam całą trylogię i uważam że dobór głównych aktorów jest trafiony w 10. Film genialny, tak jak i książka...już nie mogę się doczekać II części :-)              ",27.0,22.0,5.0
negative,negative,"[teza, polski]",1.0,Jest tez polski Grey                        https://www.youtube.com/watch? v=FWyhglT5rtA              ,6.0,2.0,1.0
positive,negative,"[poza, sala, kinowy, istnieć, jeszcze, normalny, świat, komentować, jeszcze, rzadko, udzielać, się, na, fory, forum, for, ale, dziś, czuj, czuja, czuć, nieodparty, odeprzeć, chęcić, chęć, przekonania, przekonać, przekonanie, si, czy, ktoś, mieć, miał, podobny, odczucie, odczuć, jak, jaka, przeczytać, raczej, raczy, si, do, lektura, strona, po, strona, taka, tak, bardzo, chcieć, zrozumieć, fascynacja, si, akcja, si, dla, ja, miąć, on, nie]",2.0,"Czy poza salą kinową istnieje jeszcze normalny świat?                        Rzadko komentuję i jeszcze rzadziej udzielam się na forach, ale dziś czuje nieodparta chęć przekonania sie czy ktoś miał podobne odczucia jak ja. Książkę przeczytałam (a raczej zmordowalam). Zmuszalam sie do lektury strona po stronie - tak bardzo chciałam zrozumieć fascynacje innych. Łudziłam sie, ze akcja sie rozkręci. Jak dla mnie nie rozkręciła. Nie ...              ",62.0,61.0,11.0
positive,positive,"[rozumieć, fala, negatywny, komentarz, rozumieć, fala, negatywny, komentarz, na, ten, film, zwłaszcza, oda, od, osoba, który, taka, tak, naprawdę, on, nie, widzieć, film, ale, góry, góra, oceniać, sądzić, iż, on, gust, filmowy, być, na, wysoki, Sam, przed, zobaczenie, zobaczyć, film, być, do, on, bardzo, sceptycznie, nastawić, sądzić, że, być, ten, jednak, okazać, się, bardzo, przyjemny, zabawny, sytuacja, fajny]",9.0,"Nie rozumiem fali negatywnych komentarzy                        Nie rozumiem fali negatywnych komentarzy na ten film, zwłaszcza od osób, które tak naprawdę nie widziały filmu, ale z góry oceniają sądząc, iż ich gust filmowy jest na wyższym poziomie. Sama przed zobaczeniem filmu, byłam do niego bardzo sceptycznie nastawiona, sądziłam, że będzie przereklamowany. Film ten jednak okazał się bardzo przyjemny, zabawne sytuacje, fajna ścieżka ...              ",60.0,58.0,14.0
positive,positive,"[być, fajny, on, nie, być, to, ten, arcydzieło, ale, już, on, nie, przesadzać, fajnie, się, go, on, oglądać, główny, aktorka, bardzo, sympatyczny, taka, tak, samo, sam, jak, jaka, film, wiek, niektóry, erotyczny, jak, jaka, dla, ja, miąć, bardzo]",7.0,"Przesadzacie trochę...                        Film był fajny, nie było to arcydzieło, ale już nie przesadzajmy, fajnie się go oglądało, główna aktorka bardzo sympatyczna i zabawna.. tak samo jak film w niektórych momentach... Sceny erotyczne jak dla mnie bardzo dobre.               ",37.0,38.0,11.0
negative,negative,"[Złota, za, rok, jak, jaka, przypuszczać, on, nie, to, ten, mieć, miał, coś, do, książka, ale, góry, góra, wiedzieć, że, on, nie, móc, może, być, bycie, dobre, dobry, film, skoro, główny, rola, grać, model, kobieta, który, duży, wielki, osiągnięcie, osiągnąć, być, to, ten, że, być, córka, par, para, plan, leża, leże, leżeć, leż, robić, pod, się, beznadziejnie, aktorstwo, prosić, on, nie, mówić, że, on, nie, taki, złe, zły, bo, być, to, ten, jeden, obok, źle]",1.0,Złote Malinki za rok czekają...                        Tak jak przypuszczałem nie to bym miał coś do książki ale z góry wiedziałem że nie może być dobrego filmu skoro główne role grają model i kobieta której największym osiągnięciem jest to że jest córką pary aktorskiej....Pierwszy plan leży i robi pod siebie beznadziejnie aktorstwo i proszę nie mówić że nie takie złe bo jest tragiczne.Jest to jeden obok Zmierzchu z najgorzej zagranych ...              ,68.0,75.0,15.0
positive,positive,"[zaskoczyć, zaskoczenie, iść, do, kino, kin, kina, myśleć, że, film, ja, miąć, rozczarować, ale, na, szczęście, on, nie, być, taka, tak, źle, trochę, trocha, banalny, mocno, okroić, ale, czuło, czuć, się, klimat, to, ten, dobrać, dobrany, muzyk, muzyka, całkiem, niezły, grać, gra, on, nie, żałować, że, być, móc, może, nawet, wybrać, się, na, kolejny, część]",7.0,"Pozytywne zaskoczenie                        Gdy szłam  do kina myślałam, że film mnie rozczaruje, ale na szczęście nie było tak źle ;) Tematyka trochę banalna i mocno okrojona, ale czuło się klimat tego filmu. Świetnie dobrana muzyka i całkiem niezła gra aktorów. Ogólnie nie żałuję, że byłam i może nawet wybiorę się na kolejną część?              ",52.0,55.0,10.0
positive,positive,"[rozumieć, rozumieć, do, kino, kin, kina, na, film, on, nie, być, wiek, on, jaka, jak, jaki, to, ten, twarz, si, lato, rok, wiece, wiec, chyba, wiedzieć, co, to, ten, za, film, to, ten, człowiek, ludzie, on, nie, si, iść, do, kino, kin, kina]",6.0,"Nie rozumiem komentujacych                         Nie rozumiem osob ktorzy ida do kina na film , ktory nie jest w ich guscie a pozniej komentuja jaki to badziew...Ludzie...o piecdziesieciu twarzach mowi sie latami,wiec chyba wiecie co to za film?!Do tego ludziom ktorym nie podobala sie ksiazka...po cholere idziecie do kina?????              ",47.0,43.0,11.0
negative,positive,[],8.0,"8/10                        Spoko film, myślałem że będzie dużo gorzej, a tu nawet aktorzy którzy nie bardzo mi pasowali dali radę. ;)              ",20.0,0.0,0.0
positive,positive,"[być, bardzo, fajny, zrobić, smak, chociaż, książka, być]",7.0,"Polecam                         Film był bardzo fajny , zrobiony ze smakiem , chociaż książka jest lepsza.              ",14.0,8.0,2.0
negative,negative,"[aktor, do, rola, Anastazja, przecierpieć, taka, tak, aktor, grać]",3.0,"Fatalny aktor do roli Grey'a                        Nie wiem jak Wy, ale ja byłam kompletnie zawiedziona rolą Grey'a. Jak Anastazję przecierpiałam, tak aktor grający Grey'a po prostu mnie irytował i miałam ochotę wyjść z kina. Przyjrzałam się kandydatom do tej roli i stwierdzam, że najlepiej chyba spisałby się Ian Somerhalder- przystojny, intrygująca twarz, ma w sobie to coś, że przyciąga. A Wy jak sądzicie?              ",62.0,9.0,3.0
positive,positive,"[to, ten, porno, wrócić, kino, kin, kina, miło, spędzić, szczerza, szczerze, że, film, ja, miąć, wciągnąć, moment, nawet, być, czucie, czuć, tenże, też, fajny, chemia, między, Dakota, Johnson, bardzo, dobrze, oddać, charakter, zagubić, zagubiony, niewinny, skromny, dziewczyna, wypaść, wypadły, wiek, ten, rola, wyjątkowo, chodzić, ojciec, ocean, to, ten, początkowo, mieć, pewne, pewien, pewny, obiekcja, ale, każdy, kolejny, minuta, coraz]",7.0,"Jakie to porno?!                        Właśnie wróciłam z kina i miło spędziłam czas. Powiem szczerze, że film mnie wciągnął a momentami nawet rozbawił... było czuć też fajną chemię między aktorami. Dakota Johnson bardzo dobrze oddała charakter zagubionej, niewinnej i skromnej dziewczyny - wypadła w tej roli wyjątkowo przekonująco. Jeśli chodzi o Jamiego Dornana to początkowo miałam pewne obiekcje, ale z każdą kolejną minutą coraz lepiej ...              ",63.0,59.0,19.0
positive,positive,"[bardzo, widać, charakter, ja, miąć, film, dobrze, przedstawiać, co, się, wydarzyć, wiek, dobrze, zagrać, niekoniecznie, dobrze, alba, albo, po, prosty, on, nie, podobać, podoba, mi, ja, się, postać, książka, odnieść, wrazić, wrażenie, że, mój, mieć, nieco, ciekawy, charakter, była, były, być, wkurzać, natomiast, wiek, film, być, na, Christian, to, ten, po]",6.0,"Jeszcze bardziej widać charakter Christiana.                        Według mnie film dobrze przedstawia co się wydarzyło w książce.Dakota dobrze zagrała Anę,Jamie niekoniecznie dobrze, albo po prostu nie podoba mi się postać Greya . Soundtrack super.Czytając książkę odniosłam wrażenie, że Grey ma nieco ciekawszy charakter a Ana była wkurzająca, natomiast w filmie było na odwrót. Christian to sado-masochistyczny dziwak. Jeśli po filmie ...              ",58.0,51.0,13.0
negative,positive,"[mi, ja, on, nie, jak, jaka, wiek, mi, ja, on, nie, część, książka, czytać, to, temu, ten, wczoraj, oglądać, film, zastanawiać, ja, miąć, czy, wiek, częsty, część, on, nie, ten, była, były, uległy, co, przyszły, przyjść, do, coś, mi, ja, brakować, wiek, tym, ten, to]",7.0,Coś mi nie pasuje.                        Tak jak w temacie. Coś mi nie pasuję. 1 część książki czytałam dawwnoo temu i wczoraj oglądając film zastanawiało mnie czy w 1 części nie bylo tej byłej uległej Greya co przyszła do Any ;> Ogólnie czegoś mi brakowało w tym filmie.               ,46.0,45.0,12.0
positive,positive,"[dobry, to, ten, była, były, być, reklama, wibrator, przed, film, klimat, co, do, film, moja, mój, ocena, to, ten, bajkowy, historia, świetny, muzyk, muzyka, łóżkowy, subtelny, kino, kin, kina, on, nie, wyjść, wynijść, wyniść, Warta, obejrzeć, wtedy, żałować]",7.0,"najlepsza to była reklama wibratorów przed filmem                         Walentynkowe klimaty co do filmu moja ocena to 6,5 bajkowa historia, świetna muzyka . Sceny łóżkowe - subtelne . Nikt z kina nie wyszedł . Warto obejrzeć i wtedy ocenić. Nie żałuję  !              ",40.0,38.0,10.0
negative,negative,"[John, Waters, zobaczyć, ten, film, gdyby, nakręcić, go, on, John, Waters, wiek, formia, forma, lato, rok, czy, być, wówczas, myśleć, myślić, hit]",4.0,"John Waters                        Chciałbym zobaczyć ten film, gdyby nakręcił go John Waters w formie z lat siedemdziesiątych. Ciekawe, czy ""soccer moms"" byłyby wówczas zachwycone. Co myślicie? Byłby hit? :-D              ",28.0,22.0,4.0
negative,positive,"[po, film, wszystek, wszyscy, być, świeżo, po, obejrzeć, film, wrócić, dziewczyna, ojciec, ocean, wiek, noc, po, dwugodzinny, powiedzieć, że, film, wywołać, ja, miąć, pozytywny, wrazić, wrażenie, wrażenia, on, nie, być, jakiś, gniot, ojciec, ocean, który, mówić, większość, człowiek, ludzie, krytykować, go, on, ciągło, ciągle, jaki, być, wiek, większość, wad, wada, że, być, mało, scena, erotyczny, serio, seria, ukazować, ukazywać, taki, scena, być, on, pokazać, taka, tak, jak, jaka, powinien, ktoś, oczekiwać, porno]",8.0,"Odczucia po filmie                        Witam wszystkich jestem świeżo po obejrzeniu filmu wróciłem z dziewczyną o 1 w nocy po dwugodzinnym seansie.Muszę powiedzieć,że film wywołał u mnie pozytywne wrażenia nie był jakimś gniotem o którym mówi większość ludzi krytykując go ciągle a jakie są w większości wady,że jest mało scen erotycznych serio?Film ukazuje takie sceny i są one pokazane tak jak powinno być.Jeżeli ktoś oczekuje porno sex ...              ",65.0,72.0,22.0
positive,positive,"[Miały, być, bycie, taki, taka, świetny, ocena, mówić, już, sam, za, pewno, ten, film, zwalać, możliwość, wybór, na, szczęście, pomiędzy, tym, ten, to, prymitywny, film, oczywiście, wybrać, ten, twarz, grej, on, nie, pójść, nawet, jeśli, dostać, bilet, za]",6.0,"Miał być taki świetny film...                        a ocena mówi już sama za siebie. 5,7! Na pewno ten film zwala z nóg. Miałam możliwość wyboru (na szczęście) pomiędzy tym prymitywnym filmem a ""Teorią wszystkiego"" i oczywiście wybrałam ten drugi. Na pisiont twarzy greja nie poszłabym nawet, jeśli dostałabym bilet za darmo..               ",49.0,38.0,8.0
