index,emotion,rate,text,detectedEmotion,correct_guess,score,text_length,text_length_bin
990,positive,10.0,"[naśladowca, on, nie, wiedzieć, czy, ale, wiek, coraz, duży, wielki, film, pojawiać, scena, gdy, się, oda, od, kulić, kul, kula]",negative,False,0,134,13
991,positive,10.0,"[żywy, że, lud, człowiek, ludzie, nowe, nowy, pokolenie, oceniać, przez, pryzmat, nowo, wychodzący, wychodzić, wychodząca]",negative,False,0,129,12
992,positive,10.0,"[żywy, że, lud, człowiek, ludzie, nowe, nowy, pokolenie, oceniać, przez, pryzmat, nowo, wychodzący, wychodzić, wychodząca]",negative,False,0,129,12
993,negative,2.0,"[początek, proponować, wysłać, bohater, do, Afganistan, Irak, móc, może, na, wojna, dwa, się, dać, papka, kto, ja, miąć]",negative,True,1,130,13
994,positive,10.0,"[teraz, na, oglądać, po, raz, zawsze, matrix, być, genialny, rozwalać, umysł]",negative,False,0,82,8
995,positive,7.0,"[alegoria, móc, może, ktoś, zainteresować]",positive,True,1,46,4
996,positive,9.0,"[jak, jaka, wyjść, wyjście]",negative,False,0,30,3
997,negative,5.0,[niestety],negative,True,1,10,1
998,positive,10.0,"[to, ten, si, tym, ten, to, on, nie, zgadzać, to, ten, niech, si, porost, on, nie, wypowiadać, na, ten, wiadomo, lud, człowiek, ludzie, lubić, inny, gatunek, on, nie, do, rozumieć, ojciec, ocean, co, chodzić, wiek, lud, człowiek, ludzie, wiek, chodzić, jedynie, ojciec, ocean, walka, efekt, specjalny, ale, ja, ten, film, oceniać, taka, tak, głownia, po, fabuła, być, według, ja, miąć, bardzo, ja, miąć, go, on]",negative,False,0,428,42
999,positive,10.0,"[ten, film, wczoraj, chyba, raz, dopiero, teraz, zdać, się, że, być, tu, bardzo, duży, duha, dociągnąć, niedociągnięcie, wiek, scenariusz, mianowicie, kiedy, zostawać, odłączyć, maszyna, odłączać, mu, on, kabel, zjeżdżać, jakiś, kanał, do, ściek, czy, coś, taki, który, zostawać, oda, od, raz, wyłowić, przez, statek, Morfeusz, Sam, zjazd, kanał, trwać, kilka, sekunda, wiece, wiec, widz, mój, mieć, wrazić, wrażenie, że]",negative,False,0,456,45
1000,positive,10.0,"[to, ten, być, jedyny, film, SF, który, mi, ja, się, podobać, na, bilbord, wiek, wyglądać, obiecująco, jednak, ja, miąć, przeciwniczka, film, to, ten, gatunek, on, nie, działać, zmusić, się, do, obejrzeć, to, ten, film, wzgląd, na, moi, moja, mój, moje, znajomy, znajoma, który, gorąco, ja, miąć, minuta, film, ukazywać, jak, jaka, Anna, Moss, biegać, po, przy, tym, ten, to, grupa, być, pierwszy, wiele, moment]",positive,True,1,435,43
1001,positive,10.0,"[Wachowski, Wachowski, oda, od, kiedy, wat, moment, gdy, robić, ten, film, ten, on, nie, być, na, się, poza, tym, ten, to, to, ten, mówić, się, że, koń, jaka, jak, jaki, być, każdy, wiek, biografia, Wachowski, co, widzieć]",negative,False,0,233,23
1002,positive,8.0,"[lato, rok, oda, od, film, nadal, nieźle, wgniatać, wiek, trochę, trocha, para, parę, scena, się, zestarzeć, ale, napiąć, napięcie, klimat, bez, beza, to, ten, po, taki, czas, się, on, nie, być, powrócić, do, to, ten, dzieło, część, wiek, kolejka, do]",negative,False,0,268,26
1003,positive,8.0,"[niesamowity, film, to, ten, cudo, natura]",negative,False,0,42,4
1004,positive,10.0,"[wat, to, ten, być, szok, intelektualny, że, kupa, pomysł, wymieszać, wiek, wór, worać, to, ten, już, inny, późno, być, móc, może, nawet, i tym podobne, i tak dalej, no, ale, jak, jaka, si, znać, na, pamięć, to, ten, prosić, wybaczyć]",negative,False,0,251,25
1005,positive,10.0,"[Wachowski, on, nie, chcieć, znać, znana, znany, kultowy, film, maić, maja, mieć, kontynuacja, mój, mieć, taka, tak, przeogromny, potencjał, że, wręcz, wręczyć, aż, bola, boleć, olać, taki, marek, marka, uniwersum, on, nie, mówić, tu, ojciec, ocean, powrót, czy, inny, tani, chwyt, tylko, ojciec, ocean, całkowicie, nowa, nowy, historia]",negative,False,0,355,35
1006,positive,10.0,"[film, SF, realny, przekaz, tym, ten, to, film, powiedzieć, już, chyba, już, go, on, zobaczyć, obejrzeć, koniecznie, na, napis, wykład, Marek, Mark, opisywać, alegoria, cały, trylogia, dwa, zdanie, absolutny, hit, mega, głęboki, przekaz, ostatnie, ostatni]",positive,True,1,266,26
1007,positive,10.0,"[film, bardzo, mi, ja, się, podobać, podoba, tyle, tyli, tył, że, znajdować, znajdywać, się, wiek, on, nim, jeden, jednać, dziura, fabularny, który, on, nie, dawać, mi, ja, ojciec, ocean, Ziemia, być, główny, źródło, energia, energia, słoneczny, energia, różny, minerał, związek, chemiczny, inny, egzoenergetyczny, proces, chemiczny, rozszczepić, rozszczepać, rozszczep, jądrowy, spalać, spalanie, węgieł, węgiel, jądro, Ziemia, proces, geotermalny, ten, źródło, tylko, jedno, jeden]",positive,True,1,515,51
1008,positive,9.0,"[Wachowski, mistrz, jedno, jeden, film, jeden, ważny, obraz, ostatnie, ostatni, lato, rok, po, czym, co, już, nigdy, on, nie, potrafić, mu, on, chyba, duży, wielki, dramat, młody, młoda, młode, twórca, na, sam, start, starcie, zetrzeć, stworzyć, wielki, hit, który, już, właściwie, zadecydować, ojciec, ocean, daleki, wiek, stylo, styl, pewnie, być, się, za, on, ciągnąć, do, sam, jakość, kolejny, film]",negative,False,0,425,42
1009,positive,9.0,"[mieć, mat, mać, mata, jakiś, zastrzeżenie, zastrzec, do, to, ten, film]",negative,False,0,76,7
1010,positive,10.0,"[błąd, wiek, film, zwrócić, uwaga, na, pewien, pewny, scena, wiek, ojciec, ocean, rozmowa, agent, rozmawiać, wiek, wtedy, wiek, restauracja, ja, miąć, fakt, że, nikt, on, nie, zauważyć, na, ten, monitor, kod, koda, że, on, on, nim, móc, sam, przecież, się, tam, tama, wysłać, musieć, go, on, ojciec, ocean, tym, ten, to, myśleć, myślić]",negative,False,0,357,35
1011,positive,7.0,"[wstyd, się, przyznać, Alo, Ali, Al, Ala, pierwszy, raz, obejrzeć, film, dopiero, wczoraj, jakoś, być, mi, ja, on, nie, po, droga, tyle, liczny, opowieść, faktycznie, myśleć, że, zrobić, na, ja, miąć, wrazić, wrażenie, że, być, taki, wow, no, cóż, dla, ja, miąć, być, po, prosty, dobry, on, nie, Alo, Ali, Al, Ala, to, ten, pewnie, dlatego, że, mama, mieć, wiek, rok, to, ten, musieć, być, bycie, wielki, hit, co, ja, miąć, wcale, on, nie]",negative,False,0,467,46
1012,positive,9.0,"[bardzo, wiek, film, czy, ktoś, być, umieć, to, ten, wytłumaczyć, spotkać, się, agent, scena, wiek, który, spotkać, się, po, kryjomy, wiek, restauracja, postanowić, tylko, pytać, pytanie, jak, jaka, on, to, ten, zrobić, po, kryjomy, skoro, żeby, wejść, wejście, do, matrix, potrzebny, być, operator, który, widzieć, co, robić, ten, który, być, wiek, matrix, błąd, czy, um, umieć, ktoś, logicznie, to, ten, wytłumaczyć]",negative,False,0,447,44
1013,positive,7.0,"[prośba, do, fan, to, ten, mi, ja, dlaczego, wasi, wasz, zdanie, zdać, ten, film, powinien, być, bycie, wiek, czy, gdziekolwiek, wysoko, miecić, mieść, mieć, wysoki, ocena, typ, lub, lubić]",positive,True,1,197,19
1014,positive,9.0,"[Jean, Rena, pierwotnie, mieć, miał, zagracić, zagrać, agent, chodzić, ojciec, ocean, sam, film, według, ja, miąć, rewelacyjny, wiek, swój, swoje, gatunek, ale, dziwić, dziwy, ja, miąć, fakt, Jean, Rena, zrezygnować, rola, agent, Smith, woleć, zagracić, zagrać, wiek, film, moi, moja, mój, moje, zdanie, zdać, popełnić, duży, wielki, błąd, Rena, to, ten, świetny, aktor, być, idealny, wiek, ten, rola, uważać, Hugo, dobrze, spisać, się, wiek, ten, rola, ale, myśleć, myślić, Jean, Rena, to, ten, urodzić, urodzony, agent, Smith, wy, co, ojciec, ocean, tym, ten, to]",negative,False,0,599,59
1015,positive,9.0,"[Głęboka, zieleń, zielenić, to, ten, wspaniale, przestroga, dla, taka, tak, moi, moja, mój, moje, zdanie, zdać, to, ten, to, ten, ten, wspaniale, subtelny, tajemnica, być, po, prosty, wiek, koniec, nowe, nowa, nowy, na, stare, stary, stara, dobry, wiek, swój]",negative,False,0,267,26
1016,positive,10.0,"[gimbus, go, on, do, taka, tak, zacząć, do]",negative,False,0,45,4
1017,positive,9.0,"[bardzo, ciekawić, ciekawy, jakby, wyglądać, ten, film, gdyby, faktycznie, dojść, do, to, ten, że, David, Duchovny, dostać, rola, że, móc, być, bycie, nawet, jeszcze, dobrze, lepiej]",positive,True,1,192,19
1018,positive,9.0,[fajny],positive,True,1,7,0
1019,positive,10.0,"[być, wy, lud, człowiek, ludzie, że, to, ten, coraz, głupi, raz, jak, jaka, być, na, strona, to, ten, być, wiek, top, topić, teraz, miejsce, za, dzieciarnia, wchodzić, na, ten, Szkoda, że, porządny, film, iść, pod, nóż, taki, osobnik, jak, jaka, większość, się, tym, ten, to, świat, dzieje, dziać]",negative,False,0,317,31
1020,positive,10.0,"[spadać, jeszcze, wiek, tym, ten, to, rok, być, wiek, ranking, na, być, juz, na, fala, on, nie, to, ten, film, si, teraz, he]",negative,False,0,128,12
1021,positive,8.0,"[wyznaczyć, nowy, poziom, wiek, film, oda, od, cały, kino, kina, ulec, zmiana]",negative,False,0,80,8
1022,positive,6.0,"[specjalny, czy, wciąż, robić, wrazić, wrażenie, zdanie, zdać, efekt, po, lato, rok, robić, dalej, daleko, taki, samo, sam, ogromny, wrazić, wrażenie, czy, zestarzały, zestarzeć, się, nieco, ja, miąć, być, milowe, milowy, kamień, wiek, rozwój, obecnie, niektóry, efekt, scena, mocno, się, już, postarzeć, postarzały, postarzać, kilkukrotnie, widać, dopasować, perspektywa, na, często, razić, to, ten, że, postać, być, animacja, ten, nazwać]",positive,True,1,471,47
1023,positive,7.0,"[mi, ja, szkoda, że, jakoś, się, on, nie, zainteresować, się, tym, ten, to, film, lato, rok, wat, koniec, niewiele, być, taki, który, natychmiast, po, premier, premiera, stajać, stawać, staja, się, dzieło, taka, tak, właśnie, być, to, ten, tamten, tamto, wow, prosty, każdy, ten, film, kojarzyć, kiedyś, to, ten, się, chyba, tylko, ojciec, ocean, on, nim, chyba, być, kilka]",negative,False,0,393,39
1024,positive,10.0,"[nowy, efekt, wiek, nowe, nowy, nowa, wiadomo, być, przed, co, on, nie, zmieniać, fakt, wiek, film, zostać, mistrzowsko, zaimplementować, stać, się, jeden, ikona, ikon, myśleć, myślić, jak, jaka, móc, wyglądać, nowy, przełomowy, efekt, jeśli, nowy, zostać, nakręcić]",negative,False,0,284,28
1025,positive,10.0,"[Książki, Książek, być, móc, może, jakiś, książka, związać, tematyka, film, dobrze, jakby, były, być, po, polski, choć, po, angielski, tenże, też, móc, być, bycie]",negative,False,0,182,18
1026,positive,10.0,"[on, nie, być]",negative,False,0,15,1
1027,positive,9.0,"[minus, wrócić, do, żyć, życie]",positive,True,1,36,3
1028,positive,7.0,"[dobry, film, oglądać, na, musić, musza, musieć, przyznać, ku, mój, moje, zaskoczyć, zaskoczenie, że, po, lato, rok, ten, film, się, jeszcze, ładnie, jako, jaka, cyfrowy, więzić, więzienie, robić, wciąż, wrazić, wrażenie, sprawdzać, się, jako, jaka, metafora, dzisiejszy, dzisiejsi, stosunek, stosunki, całkiem, sprawnie, tu, wkomponować, historia, typ, że, aktorstwo, na, poziom, tartak, całkiem, lubić, główny, bohater]",positive,True,1,448,44
1029,positive,10.0,"[znowu, na, mroczny, cyberpunkowy, klimat, jak, jaka, tu, on, nie, lubić, oda, od, dziecko, dziecki, wiek, wat, ostatnie, ostatni, kilkanaście, miesiąc, dwudziesty, wieko, wiek, ten, film, to, ten, być, ciekawy, wcale, się, on, nie, on, nie, zdziałać, efekt, specjalny, bez, beza, kropelki, kropelka, genialny]",negative,False,0,317,31
1030,positive,10.0,"[taki, taka, problem, otóż, wiek, ten, niedziela, na, TVN, lecieć, reklama, który, go, on, promować, lecieć, wiek, tło, znać, tytuł]",negative,False,0,141,14
1031,positive,10.0,"[dostrzec, matrix, to, ten, trzeba, przeżycie, przeżyć, alba, albo, wielki, inspiracja, alba, albo, załamać, załamanie, nerwowy, wtedy, troszkę, troszka, widać, to, ten, matrix, taka, tak, dla, człowiek, ludzie, co, maić, maja, mieć, wszystko, wiek, być, prosta, prosty, metoda, na, odkryć, odkrycie, matrix, wystarczyć, usiąść, na, przystanek, autobusowy, przez, pomedytować, po, co, to, ten, wszystko, zapieprzać, samochód, tramwaj, autobus, przecież, by, taka, tak, on, nie, by, gdyby, on, nie, istnieć, żaden, system, systema, jeszcze, nad, tym, ten, to]",negative,False,0,581,58
1032,positive,9.0,"[on, wiadomo, lud, człowiek, ludzie, urodzić, si, wiek, Alo, Ali, Al, Ala, co, taki, jak, jaka, na przykład, skoro, maszyna, człowiek, ludzie, jak, jaka, bateria, to, ten, sam, człowiek, ludzie, maszynowo, na przykład, maszyna, si, dziecko, do, matrix, cytata, cytat, dlaczego, bola, ja, miąć, oczyć, oko, morfeusz, nigdy, on, on, nie, to, ten, pasować, do]",positive,True,1,367,36
1033,positive,7.0,"[minus, efekt, specjalny, być, bardzo, dobre, dobry, rewolucyjny, symbolika, się, udawać, kultowy, scena, postać, bez, beza, osobowość, mnóstwo, dziura, fabularny, część, symbolika, być, efekt, który, kiedyś, były, być, fajny, teraz, wydawać, się, niepotrzebny]",negative,False,0,278,27
1034,positive,8.0,"[fan, swój, swoje, typ, film, wieko, wiek, Odyseja, film, wieko, wiek, wojna, muzyk, muzyka, wiek, film, rola, wiek, film, efekt, specjalny, wiek]",negative,False,0,147,14
1035,positive,9.0,"[czy, wiek, uniwersum, matrix, wszystek, ojciec, ocean, tym, ten, to, on, nie, powiedzieć, wiek, film]",negative,False,0,103,10
1036,negative,4.0,"[Oda, czternaście, lato, rok, on, nie, być, wiek, stan, stać, stanąć, zrozumieć, fenomen, to, ten, Wachowski, naczytać, się, Gibson, przy, okazja, maksymalnie, go, on, że, być, wzorować, na, postać]",positive,False,0,210,21
1037,negative,4.0,"[nawiązanie, nawiązać, do, atak, na, WTC, że, film, powstać, na, dwa, latać, rok, lato, przed, ten]",negative,True,1,105,10
1038,positive,8.0,[zagrać],negative,False,0,9,0
1039,positive,7.0,"[rozumieć, ktoś, móc, może, lubić, ten, film, nawet, uwielbiać, Alo, Ali, Al, Ala, jeśli, połowa, temat, dotyczyć, dotyczeć, to, ten, to, ten, wina, wino, to, ten, już, po, prosty, on, nie, lubić, to, ten, film, wiek, tym, ten, to, ja, tylko, ja, się, wytrzymać, ocena, nigdy, go, on, on, nie, lubić, nawet, jak, jaka, wyjść, wynijść, wyniść, znowu, ja, się, do, on, widzieć, wiek, tym, ten, to, film, głębić, głąb, głębia, nad, który, niektóry, się, rozpisywać, według, ja, miąć, to, ten, po, prosty, historia, ojciec, ocean, wybraniec, raz, być]",negative,False,0,585,58
1040,negative,4.0,"[on, nie, taka, tak, kicz, przerysować, akcja, karykaturalny, postać, sutanna, plus, ciemny, ciągły, sztuczny, przyspieszać, zwalniać, tempo, temp, zwyczajny, bajeczka, jedynie, można, możny, pochwalić, Wachowska, Wachowski, za, bardzo, oryginalny, motyw, przedstawić, przedstawienie, iluzja, oraz, kreacja, Moss, ale, na, tym, ten, to, plus, się, ocena]",negative,True,1,365,36
1041,positive,10.0,"[wiek, formia, forma, serial, wiek, temat, co, sądzić, na, serial, wiek, świat, matrix, że, powodzić, powodzenie, sezon, zapełnić, się, po, brzeg, odcinek, na, sezon, by, zacząć, oda, od, geneza, przez, udać, nieudany, wersja, do, ostateczny, wojna, powinien, powinny, być, bycie, pół, poła, póła, na, pół, poła, póła, zwykły, zwyknąć, lud, człowiek, ludzie, oraz, gang, morfeusz, na, seria, mama, mieć, mamić, sporo, spora, ja, miąć, wasz, wasze, wacha]",negative,False,0,484,48
1042,negative,1.0,"[zostać, czyli, moja, mój, moje, się, wiek, rodzina, wiek, rodzina, być, ateistyczny, on, nie, kultywować, nigdy, jakikolwiek]",negative,True,1,131,13
1043,positive,10.0,"[energia, dla, AI]",positive,True,1,18,1
1044,positive,10.0,"[bajka, co, pamiętać, to, ten, że, główny, bohater, były, być, nastolatek, który, chyba, normalny, świat, przenosić, si, do, fantastyczny, walczyć, tam, tama, roboty, robot, robota, to, ten, co, pamiętać, to, ten, jeszcze, latać, statek, właśnie, podobny, do, góry, góra, dziękować, móc, może, ktoś, oglądać]",positive,True,1,333,33
1045,positive,10.0,"[miedza, wiek, oba, te, ten, ty, film, być, dość, stare, stary, stara, oba, zasługiwać, na, odróżniać, te, ten, ty, dwa, film, bo, po, komentarz, że, matrix, si, wszystek, wszystko, wszyscy, kojarzyć, to, ten, być, oczywisty, nonsens, ale, to, ten, podkreślać, jedyny, film, który, można, możny, by, zestawić, matrix, to, ten, właśnie, on, nie, film, on, nie, mój, mieć, nic, nica, matrix]",negative,False,0,410,41
1046,positive,6.0,"[się, zdanie, zdać, mocno, przereklamować, wiek, niektóry, moment, wciągać, dawać, do, myśleć, myślenie, myślić, ale, mówić, mówienie, ojciec, ocean, tym, ten, to, film, jako, jaka, jeden, dobry, film, akcja, wiek, historia, kino, kin, kina, być, mocno]",positive,True,1,269,26
1047,positive,10.0,"[jako, jaka, alegoria]",negative,False,0,22,2
1048,positive,9.0,"[wiele, uproszczenie, błąd, film, absolutnie, agent, Smith, przesłuchiwać, Morfeusz, to, ten, prawdziwy, bomba, rzadko, spotykać, wiek, to, ten, typ]",negative,False,0,154,15
1049,positive,8.0,"[odnośnie, agent, to, ten, co, zrozumieć, film, agent, wiedzieć, że, znajdować, znajdywać, się, wiek, że, być, to, ten, wat, taki, raz, nasuwać, mi, ja, się, pytać, pytanie, kto, on, że, taka, tak, powiedzieć, przenosić, do, świat, się, tam, tama, przenosić, czy, ktoś, on, sterować, ktoś, to, ten, kto, znajdować, się, on, prawdziwy, ciało, ja, miąć, tylko, ktoś, potrafić, to, ten, wyjaśnić, to, ten, bardzo, prosić]",negative,False,0,449,44
1050,positive,10.0,"[bracia, brać, bracić, brat, Wachowska, Wachowski, inspirować, przez, istota, szósty, szósta, być, SF, ale, analogicznie, odzwierciedlać, sytuacja, który, się, teraz, dzieje, dziać, na, nasz, być, że, milion, człowiek, ludzie, odkrywać, dziś, wiek, jaki, żyć, wieźć, świadomość, analogia, do, postać, jak, jaka, rządy, rząd, kościół, nauczyć, człowiek, ludzie, żyć, życie, za, pomoc, niski, instynkt, typ, strach, zachowywać, się, co, być]",positive,True,1,475,47
1051,positive,9.0,"[cienki, pozycja, produkcja, na, pewno, bowiem, pod, wzgląd, względem, techniczny, ciężko, by, być, cokolwiek, zarzucić, ten, superprodukcja, natomiast, całość, można, możny, by, streścić, zwrot]",negative,False,0,208,20
1052,positive,10.0,"[odcinek, podcast, ojciec, ocean, link, HyperText Transfer Protocol]",negative,False,0,68,6
1053,positive,9.0,"[ojciec, ocean, co, chodzić, kiedy, morfeusz, go, on, on, nie, go, on, tylko, wiedzieć, ojciec, ocean, co, chodzić, ojciec, ocean, co, chodzić, wiek, ten, scena]",negative,False,0,165,16
1054,negative,2.0,"[forma, mój, mieć, trylogia]",negative,True,1,30,3
1055,negative,1.0,[],negative,True,1,2,0
1056,negative,1.0,"[Morfeusz, twierdzić, że, widzieć, cały, pole, gdzie, lud, człowiek, ludzie, się, on, nie, rodzić, być, uprawiać, to, ten, wiek, kobieta, musieć, bez, beza, przerwa, rodzić, efekt, specjalny, dialog, to, ten, istny, bełkot, pseudointelektualny, przesłać, przesłanie, scena, walka, wręcz, wręczyć, żenujący, żenować, plus, cały, czas, sieczka, strzelanina, to, ten, pod, przykrywka, pseudointelektualny, przesłanie, zrzynać, pomysł, około, inny, film, realizm]",negative,True,1,486,48
1057,negative,1.0,"[Budki, Budka, Budek, telefoniczny, wiek]",negative,True,1,41,4
1058,negative,4.0,"[realizm, wiek, tym, ten, to, film, zero, wiek, lato, rok, ale, ja, juz, dawno, taki]",negative,True,1,85,8
1059,negative,3.0,"[jeden, najbardziej, przereklamować, postawić, na, efekt, specjalny, to, ten, ale, film, kompletnie, si, on, nie, trzymać, kupa, fatalny, aktor, po, prosty, tragedia, ponad, dwa, godzina]",negative,True,1,190,19
1060,negative,1.0,"[bajka, Andersen, Nowe, szaty, szata, Cesarz, być, właśnie, ten, wiek, tym, ten, to, film, coś, głęboki, kojarzyć, mi, ja, się, ten, plus, to, ten, logiczny, wiek, scenariusz, jaki, nowe, nowy, film, on, nie, taka, tak, wysoki, ocena, być, właśnie, ktoś, chcieć, szukać, naprawdę, coś, głęboki, prawdziwy, ojciec, ocean, dusza, człowiek, to, ten, polecać, Karamazow]",positive,False,0,386,38
1061,positive,9.0,"[za, niski, ocena, ten, film, powinien, miecić, mieść, mieć, co, najmniej, mało]",negative,False,0,85,8
1062,positive,10.0,"[piosenka, wybrać, pod, koniec, bo, ja, Fredrik, drop, inaczej, in, on, nie, pasować, leczyć, leczo, lecz, on, taka, tak, móc, uwierzyć, że, być, tylko, kropla, kroplić, wiek, móc, uwierzyć, że, urodzić, się, tylko, po, to, ten, żeby, być, bycie]",negative,False,0,261,26
1063,positive,8.0,"[wiek, który, on, nie, wiele, wierzyć, stać, się, hit, zdanie, zdać, ocena, trochę, trocha, za, niski, bo, ja, tu, widzieć]",negative,False,0,130,13
1064,negative,1.0,"[Syjon, Syjona, to, ten, lud, człowiek, ludzie, chory, na, wy, test, program, as, long, as, choica, choica, at, wy]",positive,False,0,116,11
1065,negative,1.0,"[promować, homoseksualny, stylo, styl, żyć, życie, propaganda, zacierać, różnica, to, ten, mężczyzna, czy, kobieta, poważny, promować, homoseksualizm, to, ten]",positive,False,0,170,17
1066,positive,10.0,"[matrix, być, poza, wiek, co, chodzić, film, powinien, być, bycie, wiek, top, topić, jak, jaka, wiek, temat]",negative,False,0,112,11
1067,negative,1.0,"[to, ten, andante, for, his, superior, inaczej, in, order, to, ten, Jim, Gordon, sekunda, strona, he, to, ten]",negative,True,1,110,11
1068,negative,1.0,"[powrót, długi, okres, marazm, pojawiać, pojawianie, się, film, wreszcie, polecenie, polecić, polecieć, on, nie, tylko, gatunek, wiek, sum, suma, jaki]",negative,True,1,157,15
1069,positive,10.0,"[który, on, nie, rozumieć, to, ten, film, żyć, wiek, być, wiele, komentarz, że, to, ten, film, dla, dziecko, mima, mimo, że, ten, film, poruszać, bardzo, istotny, temat, nigdy, on, nie, dać, da, si, naukowo, zakwestionować, wizja, świat, przedstawić, wiek, że, krytyk, to, ten, film, być, wygenerować, jak, jaka, te, ten, ty, bot, wiek, nad, nic, niczym, si, on, nie, zastanawiać, broń, bronić, system, wiek, który, matrix, to, ten, film, także]",negative,False,0,465,46
1070,positive,10.0,"[ktoś, um, umieć, to, ten, wytłumaczyć, ten, film, wiele, raz, zrozumieć, wiek, łączeń, łącznia, łącznie, setka, setki, ciekawostka, wiek, internet, ojciec, ocean, przesłanie, podczas, powiedzieć, mi, ja, jak, jaka, wyrocznia, jako, jaka, program, móc, przewidywać, przyszłość, co, zrobić, ludzki, mózg, za, chwila, on, jeszcze, jaki, cud, cudo, gadać, ale, to, ten, być, chyba, mały, zgrzyt, wiek]",negative,False,0,422,42
1071,positive,10.0,"[zakończyć, zakończenie, filmowy]",negative,False,0,36,3
1072,positive,10.0,"[ktoś, namiar, na, wygaszacz, ekran, tapet, tapeta]",positive,True,1,52,5
1073,positive,7.0,"[pytać, pytanie, do, fan, seria, lub, lubić, tylko, to, ten, film, co, chodzić, tym, ten, to, że, sequel, zniszczyć, oryginał, słyszeć, że, te, ten, ty, dwa, kolejny, odsłona, jedynie]",negative,False,0,194,19
1074,positive,8.0,"[kurde, dość, że, wielki, szok, być, fabuła, to, ten, jeszcze, film, być, wiek, moi, moja, mój, moje, gust, według]",negative,False,0,123,12
1075,positive,10.0,"[Nowe, mama, mieć, mamić, pytać, pytanie, info, czy, wiedzieć, że, mój, mieć, powstać, nowa, nowy, wersja, wiek, zasada, to, ten, on, kontynuacja, nowa, nowy, trylogia, być, już, napisać, podobno, pierwszy, ktokolwiek, coś, znajść, znajda, znaleźć, niech, wrzucać, Jamy, fan, obejrzeć, jeszcze, coś, wiek, tym, ten, to, to, ten, co, znaleźć, twierdza, twierdzić, że, rozpocząć, się, praca, nad, druga, drugi, trylogia]",negative,False,0,444,44
1076,positive,10.0,"[temat, przerosnąć, twórca, ten, film, być, różny, być, on, egzystencjalny, społeczny, być, znakomity, nadal, taki, taka, powstać, powstały, dwa, kolejny, częsty, część, który, zniszczyć, obraz, obraza, pierwsza, pierwszy, się, że, mama, mieć, mamić, on, nie, głębić, głąb, głębia, nawiązanie, tylko, chaos, seria, efekciarski]",positive,True,1,356,35
1077,positive,10.0,"[tylko, jedno, jeden, chcieć, być, rewelacyjny, skromny, zdanie, zdać, być, dobry, niżyć, niża, nizać, niż, zmieszać, ja, miąć, błoto, ale, zdanie, zdać, on, nie, mówić, że, być, do, kit, ja, miąć, zająć, honorowy, drugi, druga, drugie, mieć, tu, przypisać, jakiś, porównać, porównanie, do, być, to, ten, mi, ja, się, taka, tak, wiek, film, były, być, on, nie]",positive,True,1,392,39
1078,positive,10.0,"[mama, mieć, mamić, wątpliwość, czy, ktoś, móc, może, mi, ja, wyjaśnić, wiek, jaka, jak, jaki, sposobić, sposób, samodzielnie, przedostać, się, do, na, spotkać, spotkanie, agent, przecież, on, nie, wyskakiwać, na, miasto, raz, wiek, tydzień, on, nie, maić, maja, mieć, zbiórka, ojciec, ocean, ustalić, godzina, jak, jaka, na]",negative,False,0,347,34
1079,positive,10.0,"[maić, si, ramy, rama, to, ten, si, on, nie, posrać, używać, on, nie, chromy, chroma, trzeba, koniecznie, si, trzymać, ramy, rama, HyperText Transfer Protocol]",negative,False,0,164,16
1080,negative,1.0,"[pocisk, pistolet, efekt, specjalny, to, ten, forum, dojść, do, wniosek, że, wiele, fan, jary, jarać, się, lecieć, pocisk, wystrzeliwać, to, ten, taka, tak, zwać, stylo, styl, Wiele, produkcja, zostać, przez, to, ten, pomówić, om, zżynać, jak, jaka, obejrzeć, film, HyperText Transfer Protocol]",negative,True,1,308,30
1081,positive,9.0,"[cieszyć, ciszyć, cisza, cisz, oko, ucha, ucho, do, ten, pora, por, mecz, soundtrack, kino, kina, akcja, lekko, zarysować, zarysowany, film, na, humor]",positive,True,1,154,15
1082,positive,10.0,"[matrix, znać, HyperText Transfer Protocol]",negative,False,0,44,4
1083,positive,10.0,"[no, jednak, mieć, miał, racja, ci, ten, ty, kretyn, administracja, wszystko, kasować, uprawnienia, uprawnić, uprawnienie, i tak dalej, przypadek, taki, obłąkać, obłąkany, koleś, być, pater, po, inny, on, wypowiedź, tam, tama, użytkownik, ocena, znikać, tylko, to, temu, ten, debil, ale, si, kompromitować, sądzić, że, lud, człowiek, ludzie, on, nie, potrafiać, żyć, życie, bez, beza, żeby, robić, taki, jajco, jajca, admin, to, ten, jakiś]",negative,False,0,466,46
1084,positive,10.0,"[sentencja, czy, ktoś, móc, może, wiedzieć, jak, jaka, po, łacina, brzmieć, ten, ta, sentencja, na, drzwi, kiedy, być, ten, jakiś, kobieta, pytać, ojciec, ocean, swoić, swój, przyszłość]",positive,True,1,200,20
1085,positive,8.0,"[się, taka, tak, bardzo, dobre, dobry, film, super, efekta, efekt, specjalny, on, nie, zrobić, jeszcze, wiek, oj, być, by, co, podziwiać]",positive,True,1,141,14
1086,positive,9.0,"[Campbell, czyli, kilka, słowić, słowa, słowo, ojciec, ocean, inspiracja, twórca, film]",negative,False,0,92,9
1087,positive,7.0,"[lecieć, raz, wiek, jeszcze, on, nie, widzieć, to, ten, włączyć, na, pewno, lecieć, tam, tama]",negative,False,0,100,10
