comments,emotion,rate
"Jest filmem właściwie telewizyjnym, z banalnie napisanymi scenami, schematycznym, anonsującym rozwiązania na pół godziny naprzód - i dziwnie też anachronicznym.",negative,5.0
"Nie jest to oczywiście bardzo zły film, lepszym określeniem będzie słowo ""przeciętny"". Na nic niestety zdaje się porządne, chociaż nie spektakularne aktorstwo.",negative,5.0
"Nie jest to na pewno film wybitny, a nawet dobry. Raczej przeciętny i niezbyt odkrywczy, ale warty zobaczenia, po to, żeby zapamiętać Robina Williamsa z porządnie zagranych ról dramatycznych, a nie nieśmiesznych komediowych ról jakimi raczył nas w ostatnim latach swojej kariery.",negative,3.0
"Alice Winocour udaje się tak dobrać składniki, aby stworzyć własny przepis na klimatyczny, wciągający thriller.",positive,8.5
"Winocour udało się nadać nowych brzmień znanym gatunkowym kliszom. Dzięki niej ""Cień"" stał się interesującym reprezentantem dreszczowców oraz w mojej ocenie pozycją obowiązkową dla fanów tego typu produkcji.",positive,8.0
"Całość w estetyce kina artystycznego, ale z odpowiednim zacięciem kina popularnego ogląda się z przyjemnością i nieustającym zainteresowaniem.",positive,8.0
Efekt końcowy jest po prostu znakomity.,positive,8.0
"Wypada dużo bardziej wiarygodnie i realistycznie niż jego amerykańscy ""kuzyni"".",positive,7.0
"Klimatyczny i kameralny dreszczowiec, bardziej skupiony na bohaterze, któremu trudno zaufać niż na sensacyjnej fabule.",positive,7.0
"Pozostaje jednak ciekawym doświadczeniem, które można polecić każdemu, kto szuka w kinie grania na emocjach, a nie przejażdżki na rollercoasterze do popcornu.",positive,7.0
"Ciekawy, choć niezwykle stonowany film, który nie angażuje widza zbyt mocno.",positive,6.5
"To co działa w tej produkcji, to co powoduje, że seans trzyma w napięciu i interesuje, to granie na nieoczywistościach.",positive,6.0
"Bardzo ciekawe studium psychologiczne, może nawet społeczne, włożone w dobrze pomyślany dreszczowiec.",positive,6.0
"Chwilami ma się wrażenie, że reżyserka nie za bardzo wie, w jaki sposób rozwinąć nieźle zapowiadającą się, zaangażowaną społeczno-politycznie historię.",positive,6.0
"Niektóre sceny w jej filmie to istne perełki, których nie powstydziłby się Roman Polański.",positive,6.0
"Sprawnie zrealizowane kino, ale płytkie i błahe.",negative,5.0
"Winocour za bardzo wikła się w psychologizację, odchodzi od krwistego języka wizualnego i wpada w pułapkę konwencjonalnego, narracyjnego banału.",negative,5.0
"Dobrze zapowiadający się film staje się w końcu zupełnie konwencjonalnym, niezbyt porywającym thrillerem.",negative,5.0
"Co prawda akcja potrafi trzymać w napięciu, ale całość jest grubymi nićmi szyta. Aktorzy dwoją się i troją, ale ograniczeni przez przepełniony kliszami oraz utartymi schematami scenariusz niewiele mogą.",negative,3.0
"Ujmujący, podwójny portret.",positive,8.3
"Ciekawe i do bólu realistyczne studium relacji braterskiej, która, jak można odnieść wrażenie, opiera się zarówno czasowi jak i wszelkim innym czynnikom.",positive,7.0
"Staroń potwierdza, że - choć jest z wykształcenia operatorem - wykształcił w sobie znakomity warsztat dokumentalisty.",positive,7.0
"Cicha, pozbawiona niezwykłych rewelacji opowieść, może momentami nudzić.",negative,5.0
"Niestety więcej w nim niedociągnięć niż walorów artystycznych, choć nie można mu odmówić specyficznego uroku.",negative,5.0
"Mamy do czynienia z nieudolnym wyważaniem drzwi, do których kluczem jest dobre filmowe rzemiosło, a tego w obrazie Radosława Markiewicza brakuje najbardziej.",negative,4.0
Zamiast radosnej zabawy kliszami i warsztatowego popisu mamy filmowy bubel.,negative,4.0
"Fabularny misz-masz bez ładu i składu z wątkami prowadzącymi donikąd trudno się ogląda, a bijąca z ekranu nuda staje się synonimem tego filmu. Bełkot wydobywa się również z dialogów, które nawet w małej ilości są sztuczne i niezrozumiałe. Udane są tylko zdjęcia.",negative,2.0
Po prostu wszystko tutaj fałszuje. Sensacyjny romans łamany na gangsterskie kino jest pełen defektów i błędów u podstaw.,negative,2.0
"Eksperyment, który trzeba spisać na straty.",negative,2.0
"Miało być mocno i intrygująco, a wyszło karykaturalnie i siermiężnie.",negative,2.0
"Wygląda jak skrzyżowanie ekonomicznej wersji ""Sin City"" z czymś, co Quentin Tarantino zrobiłby lunatykując i majacząc przez sen.",negative,1.7
"Trudno znaleźć pozytywny aspekt produkcji prócz tego, że trwa stosunkowo krótko. Scenariusz jest zupełnie nietrafiony, obsada aktorska niewyraźna, zdjęcia robione na siłę artystycznym okiem, muzyka jednostajna oraz mało oddająca atmosferę filmu.",negative,1.0
Kompletna katastrofa.,negative,1.0
Zawodzi przede wszystkim przewidywalność i płytkość.,negative,1.0
Dosłownie wszystko jest kalką/symulacją wykonaną na dodatek w bardzo złym stylu.,negative,0.0
"Szalonych efektów specjalnych i walk w kosmosie tu nie zobaczymy, ale jeśli ktoś szuka niegłupiej koncepcji ataku kosmitów, to znajdzie.",negative,5.0
"Film-wydmuszka - opowiastka kupiona przez studio z nadzieją, że uda się wydoić pieniądze z fanów książki, którzy jednak raczej się nią rozczarują ze względu na wielką ilość kolosalnych zmian, jakie wprowadzono względem oryginału.",negative,5.0
"Pomimo niedociągnięć nie jest najgorszą produkcją, wyprzedzając takie niewypały jak ""Akademia Wampirów"" czy ""Dawca Pamięci"". Zapewnia przystępną dwugodzinną odskocznię od rzeczywistości, która raczej nie powali na kolana, jednak może skłonić do przeczytania książkowego pierwowzoru.",negative,5.0
"Ma kilka niedoskonałości, ale wciąż pozostaje poprawnym kinem dla młodzieży. Nie ma zastraszającej siły rażenia, a Inni wydają się całkiem niegroźni, stąd raczej umiarkowane zaangażowanie emocjonalne.",negative,5.0
"Rozczarowuje zarówno jako adaptacja prozy Ricka Yanceya, jak i zwyczajny rozrywkowy film młodzieżowy o zabarwieniu romansowym.",negative,5.0
"Słabiutki film dla nastolatków, w którym żaden wątek nie jest ciekawie poprowadzony. Nie ma tu też nic dla fanów sci-fi czy kina katastroficznego, bo ten film jedynie ich rozczaruje swoimi brakami pod każdym względem, i w fabule, i w realizacji.",negative,4.0
"Fabuła filmu Blakesona trzyma się książkowego oryginału dość wiernie, próżno tu mówić jednak o jakiejkolwiek oryginalności.",negative,4.0
"Miała szansę zbudować ciekawy nastrój w oparciu o standardowy motyw kosmicznej inwazji, ale skończyło się na bezmyślnych harcach szablonowych nastolatków.",negative,4.0
"Kino, na które szkoda czasu.",negative,4.0
"Coś, co zaczynało się szalenie obiecująco, dość szybko zmieniło się w kolejny seans, z którego chętnie natychmiast teleportowałby się poza kino.",negative,3.3
"Przyznałem zatem 1 punkt więcej, ponieważ bardzo młody widz i/lub zwolennik produkcji typu ""Więzień labiryntu"", ""Igrzyska Śmierci"", ""Niezgodna"" itp., powinien umiarkowanie dobrze odebrać seans. Nie sądzę jednak, aby był wyjątkowo zachwycony. ""Piąta fala"" odstaje bowiem jakościowo od wspomnianych produkcji i to w każdym elemencie filmowego rzemiosła.",negative,3.0
"Spokojne życie licealistki przerywa inwazja kosmitów, a dziewczyna musi odnaleźć się w nowym świecie pełnym idiotycznych wątków, tandetnych scen akcji i zmarnowanego potencjału.",negative,3.0
"Fabuła dziurawa jak szwajcarski ser, aktorzy męczą się w swoich rolach. Ale przynajmniej zwiastun był piękny!",negative,3.0
"Już na starcie obiecuje ""złote góry"", ale gdy tylko miną napisy początkowe można się poczuć lekko oszukanym.",negative,3.0
"Jest po prostu słabą ekranizacją. Bardzo nieprzemyślaną, z mnóstwem błędów logicznych i reżyserskich.",negative,3.0
Wygląda jak zrealizowany naprędce fanowski film na Youtubie.,negative,3.0
"Kiedy jednak brakuje ogólnego pomysłu, nie da się uratować filmu takimi drobnostkami. Po prostu giną one w odmętach chaosu.",negative,3.0
"Wygląda trochę tak, jakby nie była przeznaczona dla czternasto- czy szesnastolatków, lecz właśnie zrobiona przez czternasto-, a nawet dziesięciolatków.",negative,2.0
"Po trzydziestu minutach akcja zaczyna przyspieszać w ten sposób, że kolejne elementy mają coraz mniej sensu, a postacie mniej czasu, żeby się do nich przekonać.",negative,2.0
"Najlepsza filmowa dystopia, jaką widziałem.",positive,10.0
"Reżyser łączy kino retro z futuryzmem, oferując widzowi rozkręcającą się karuzelę przemocy, seksu i patologii w duchu Davida Cronenberga i Stanleya Kubricka.",positive,9.0
"Szaleństwo, chaos i zezwierzęcenie, satyra w niekonwencjonalnej formie, po prostu istna ekranowa orgia.",positive,9.0
Najbardziej spektakularna w historii rozbiegówka przed teledyskiem.,positive,8.3
Przesmakowita dziwaczność.,positive,8.3
"Na pewno jako film ma pewne braki, ma jednak wiele elementów, których w większości kinowych hitów na próżno szukać. I jest dowodem na to, że sci-fi można kręcić inaczej niż szarżując efektami specjalnymi.",positive,8.0
"Ogląda się to jak szalone dzieło sztuki, czysty obłęd po mistrzowsku zapisany na taśmie filmowej.",positive,8.0
Bez wątpienia bezkompromisowe i wizjonerskie widowisko.,positive,8.0
"Finałowa destrukcja, od której rozpoczyna się ""High-Rise"", to majstersztyk wyobrażenia o apokalipsie - także na poziomie formy filmowej.",positive,8.0
"Rysuje rzeczywistość, która zaciska nam pętle na szyi. Ładne jak kropla krwi na mankiecie i przy tym wszystkim mądre.",positive,8.0
"Jeden z najważniejszych filmów, które w tym roku pojawią się na ekranach polskich kin. Jest ładnie, tajemniczo i dość przykro.",positive,8.0
"Zmusza do myślenia, czystej rozrywki jest w nim niewiele, ale i nie jest to ekranowy snuj, w którym nie dzieje się nic: ponury, mroczny film Bena Wheatleya jest wierny klimatowi oryginału, nie brak w nim mocnych ujęć, zabójstw, seksu, perwersji, sadyzmu.",positive,7.0
"Nie jest filmem złym, nie jest też filmem dobrym, niespecjalnie angażującym, bo wiadomym, i emocjonalnie pasywnym, którego nader szczęśliwie ratuje strona wizualna, a w szczególności zapadające w pamięć i do bólu sugestywne kalejdoskopowe zdjęcia autorstwa Lauriego Rose'a.",positive,7.0
"Fenomenalnie wystylizowany na lata 70, oniryczny obraz społecznego rozkładu.",positive,7.0
"Jest czasem, jak wrak budynku, jak organizm z którego wypruto żyły i całe opowiadanie jest martwe, nie ma bohaterów, poszczególne klatki są opustoszałe, obdrapane z treści, windy nie snuja historii, wentylacja nie gwarantuje świeżości narracji.",positive,7.0
"Mamy więc do czynienia z wielkim witrażem krążącym dookoła siebie - kalejdoskopem wielu słów, idei i obrazów.",positive,7.0
"Reżyser ogrywa te wszystkie metafory i inne tropy stylistyczne w sposób bardzo unikatowy i bardzo ""swój"".",positive,7.0
Karykaturalny i piekielne celny portret współczesnych elit.,positive,7.0
"Jeżeli nie nastawicie się na odpowiedni odbiór High-Rise, możecie poczuć rozczarowanie.",positive,7.0
"Niezwykle elegancki, wysmakowany, a przy tym głoszący dość złowieszczą tezę, która zostaje pięknie wizualnie przedstawiona na ekranie.",positive,7.0
"Intrygujący, choć chaotyczny obraz, który skłania do przemyśleń i zapada w pamięć. Film od początku wciąga i trzyma w napięciu, jednak do tego stopnia, że aż męczy.",positive,6.7
"Dwubiegunowość ""High-Rise"" powoduje, że wychodząc z kina, widz ma prawo czuć się zbitym z tropu. Nie jest pewny tego, co zobaczył, a przede wszystkim nie jest pewny, czy to świadczy o świetności, czy tragiczności tej produkcji.",positive,6.7
"Niewygodne, wymagające kino, nie dla każdego.",positive,6.5
"Nie jest idealny, brakuje w nim tego trudno uchwytnego ""czegoś"", co porwałoby widza i sprawiło, że jeszcze długo po seansie zastanawiałby się nad przesłaniem i treścią tego dzieła.",positive,6.5
"Pesymistyczna wizja przyszłości, gdzie podziały klasowe stają się przyczyną rewolty, ani trochę nie przygnębia, bo okazuje się być konstruktem równie sztucznym, co tytułowy wieżowiec.",positive,6.0
"Być może największe, filmowe dziwactwo, jakie w tym roku pojawi się na ekranach kin.",positive,6.0
"Miło jest zobaczyć w szerokiej dystrybucji film brytyjski, zwłaszcza w tak dobrej obsadzie, bo to rzadkość. Szkoda tylko, że scenariusz nie dorównał do wysokiego poziomu aktorskiego.",positive,6.0
"Prawie dwie godziny w kinie mogą być tylko nagrodzone, jeżeli zagłębimy się i odczytamy niejasne metafory, których reżyser używa na potęgę. Inaczej, czeka nas konfrontacja z wizualnie pięknym, badającym granice gatunku filmowego dziełem, który dla wielu pozostanie tylko i wyłącznie nużącym chaosem.",positive,6.0
"Wheatley chciał pokazać tak wiele rzeczy naraz, że w ostateczności na żadnej nie skupił się wystarczająco mocno.",positive,6.0
"Najciekawszy nie w swoim wymiarze politycznym, tylko estetycznym.",positive,6.0
"Kilka plusów za realizację, zdjęcia, aktorstwo, charakteryzacje i muzykę.",negative,5.0
"Intrygujący na powierzchni, ale ledwie prześlizgujący się po tematyce powieści J. G. Ballarda, alegoria, która niestety nudzi - choć jej sens jest aktualny jak nigdy.",negative,5.0
"Za wiele tu wszystkiego, przez co pod koniec, niestety niedużo z tej produkcji wynika.",negative,4.0
"Ponieważ w ""High-Rise"" brak postaci pozytywnych czy szczególnie interesujących, widz, mimo najlepszych chęci, musi się w końcu poddać i odpłynąć myślami w kierunku ciekawszych tematów.",negative,3.3
"Nie czuje się żadnego autentyzmu. To raczej pastisz z elementami satyry, wymierzony w zmanierowane, puste społeczeństwo, staczające się w otchłań rozpusty, degeneracji i orgii konsumpcji.",negative,3.3
Ma wszystkie elementy jakie powinien posiadać film.,positive,10.0
Mądra i wizualnie zapierająca dech w piersiach ekranizacja.,positive,10.0
"Wspaniała, zabawna, mądra i piękna opowieść o akceptacji, przyjaźni, rodzinie, przynależności, odpowiedzialności oraz szczerej miłości. To po prostu trzeba zobaczyć.",positive,9.0
"Zachwycająca obrazem ""Księga dżungli"" to kolejny kamień milowy w historii kina, porównać ją można chyba tylko do zdumiewającego realizmem fantastycznego świata wykreowanego kilka lat temu w ""Avatarze"".",positive,9.0
Rewelacyjne kino familijne i dowód na wielkie możliwości współczesnych efektów specjalnych.,positive,9.0
Udana ekranizacja klasycznej powieści Rudyarda Kiplinga.,positive,8.3
"Niegłupia historia, która powinna spodobać się dzieciom, ale też miłośnicy kina przygodowego znajdą coś dla siebie. Patrząc na realizację scen akcji nie mogłem oprzeć się wrażeniu, że to film w stylu wczesnego Stevena Spielberga - niepozbawiony humoru, pazura, serca, ale i mroku. Wszystko jest tu odpowiednio wyważone i bardzo przyjemne dla oka.",positive,8.0
"Wspaniałe kino, zrealizowane z sercem oraz dbałością o szczegóły, co widać niemalże w każdej scenie.",positive,8.0
"Wspaniałe, przejmujące, wciągające i pasjonujące kino.",positive,8.0
"Wiarygodny scenariusz sprawia, że film staje się pasjonującą opowieścią o dokonywanych wyborach i ich konsekwencjach, a poszczególne zwierzaki znakomicie portretują zbiorowisko przeróżnych charakterów.",positive,8.0
"Pełna zwrotów akcji, wzruszająca, acz pozbawiona taniego sentymentalizmu, historia o lojalności, przyjaźni i poszukiwaniu tożsamości.",positive,8.0
"Poszedłem na film o dzieciaku w czerwonych gaciach, a znowu zobaczyłem brachiozaury. Lepszej rekomendacji nie wymyślę.",positive,8.0
Olśniewa od pierwszej do ostatniej minuty!,positive,8.0
Kompletne kino przygodowe.,positive,8.0
"Dobrze zekranizowany, ale pozbawiony iskierki życia koniecznej do porwania widza.",positive,7.8
"Dobrze zrobiony obraz, który w ciekawy i wciągający sposób opowiada nam znaną już przez nas historię. Jest to lekki, przyjemny oraz przede wszystkim dobrze zrobiony film, który rewelacyjnie wpisuje się w ideę filmów familijnych, które zachwycą osoby w różnym wieku.",positive,7.3
"Jest zabawnie, chwilami wzruszająco, a końcówka choć trochę nielogiczna i naciągana, potrafi przyspieszyć bicie serca.",positive,7.0
"Wypada w ogólnym rozrachunku zadziwiająco dobrze - fabuła wraz z wykreowanym światem sprawia, że historię śledzi się z zainteresowaniem, a postaci są tak realistyczne, iż nie sposób się do nich emocjonalnie nie przywiązać.",positive,7.0
"Reżyser dwóch filmów o Iron Manie, zadbał o to, żeby disnejowska produkcja była przede wszystkim świetnym kinem przygodowym, przyprawionym lekkim humorem i ciekawymi postaciami.",positive,7.0
"Przyjemne, bezpieczne kino familijne.",positive,7.0
"Absolutnie genialny klimat, przemyślana obsada, świetnie skomponowana muzyka i zgrabnie poprowadzona fabuła czynią z pozornie zwyczajnej ""Księgi dżungli"" dzieło najwyższej klasy.",positive,7.0
"Nie wprowadza nachalnego moralizowania, ale przemyca uniwersalne wartości. A film staje się barwną przygodą, która wizualnie zachwyca.",positive,7.0
"Pod względem historii nie wyróżnia się niczym szczególnym. Nie dozna zaskoczenia w szczególności ten, kto pamięta animację z 1964 roku. Zupełnie inaczej jest jednak pod względem wizualnej oprawy.",positive,7.0
"Jest zatem nie tylko dobrą, ale również mądrą rozrywką.",positive,7.0
Ciepła przypowieść z morałem.,positive,7.0
"""Księga dżungi"" pomimo, że jest animacją przeznaczoną dla dzieci i młodzieży jest bardzo mrocznym filmem. Pełnym ciemnych scenerii i wszechobecnego czarnego charakteru. Jednak nie jest bezwzględnie pozbawiania dobrego poczucia humoru i scen radości, a piosenki wykonywane przez głównych bohaterów, dostarczą uśmiechu niejednemu widzowi.",positive,6.0
"Całość bliska jest animowanego pierwowzoru, ale nie ma ducha oryginału. Gonitwa po dżungli, wykreowanej rzeczywiście w imponujący sposób, szybko mnie znużyła.",negative,5.0
"Łatwo podziwiać, ale trudno się w niej zakochać.",negative,5.0
"Fabuła nie zaskakuje, a klisza goni kliszę, schemat goni schemat.",negative,5.0
"Nie jest idealnym filmem grozy, ale przynajmniej są elementy, które pozwalają uwierzyć, że horrory jeszcze nie są tak całkowicie zgubione.",negative,5.0
"Jakże ograny i przewidywalny horror, który ratuje oprawa i umiejętność reżysera do straszenia tym, czego nie widać.",negative,5.0
"Choć filmowa potrawa okazuje się zjadliwa, wciąż mamy do czynienia z celuloidowym fast foodem.",negative,5.0
"Wygląda ciekawie i zachęcająco, ale po bliższym spotkaniu stwierdzamy, że to było tylko złudzenie, a czas na obejrzenie filmu można przeznaczyć na coś innego.",negative,4.0
"Jedna z tych produkcji, przy których po upływie zaledwie piętnastu minut zaczynasz spoglądać na zegarek, z utęsknieniem wyczekując końca projekcji.",negative,4.0
Nuda zamiast strachu.,negative,3.3
"Straszy jedynie tych, którzy zdołają przebrnąć i obejrzą go w całości. Sztampa i banał idą w tym filmie w parze, gdzie zamiast mistycyzmu grozy jedyne co nas czeka to ziewnięcie.",negative,3.0
"Odważna, mądra, zabawna i poważna historia o dorastaniu.",positive,8.3
"Bez pruderii i oceny, za to z bezbłędnym humorem - i zaskakującą dojrzałością.",positive,8.3
"Szczery do bólu, zabawny i niezwykle prawdziwy portret dorastającej dziewczyny.",positive,8.3
"Do silnych stron tego zachwycającego filmu należy również bardzo dobra obsada, która w połączeniu z osobistą narracją w pierwszej osobie, ładnym oświetleniem nadającym obrazowi pastelowych barw, naturalnym językiem i świetną muzyką kreują wysokiej klasy widowisko audiowizualne.",positive,8.0
"Humorystyczne spojrzenie na newralgiczny moment życia dorastającego człowieka obfituje w niezręczne sytuacje, które potrafią wzbudzić gromkie salwy śmiechu, a które stanowią też interesującą refleksję nad ludzką naturą.",positive,8.0
"Nie wszystkim przypadnie do gustu, a niektórych nawet oburzy. Inni docenią grę aktorską, klimat, muzykę i przede wszystkim momentami zabawną, a zarazem bezpretensjonalną i odważną historię.",positive,8.0
"Bardzo dobrze się go ogląda, przyjemnie jest towarzyszyć Minnie w jej przygodach i patrzeć na to, jak dojrzewa, zmienia się, a mimo że nabija sobie po drodze kilka siniaków, to ostatecznie dochodzi przecież do właściwych wniosków.",positive,8.0
"W rękach mniej zdolnego debiutanta ""Wyznania nastolatki"" mogłyby się stać kolejną niesmaczną komedią lub, w najlepszym wypadku, ambitną porażką. Na szczęście Heller zdaje się być świadoma pożądanych efektów i potrzebnych do ich uzyskania środków filmowych.",positive,8.0
"Jedna z najciekawszych produkcji skierowana dla wchodzącego w okres nastoletni, podchodzący do ich problemów szczerze i bez moralizatorstwa, nuty fałszu.",positive,7.5
Spełnione marzenie feministek.,positive,7.0
"Nie przeprowadza żadnej rewolucji, nie wyważa zamkniętych drzwi, ale gwarantuje świeże spojrzenie, lekką formę i dobrze pozszywaną narrację.",positive,7.0
Konsekwentnie dziewczyńska perspektywa.,positive,7.0
"Mogły być odważnym, śmiałym i ważnym filmem, ale postanowiły spocząć w pół drogi, na tanim szokowaniu. Nie zmienią tego nawet świetna ścieżka dźwiękowa, niezły klimat epoki czy znakomita rola 24-letniej Powley.",negative,5.0
"Intryguje, szczególnie jeżeli weźmiemy pod uwagę w jak partyzanckich warunkach powstawał.",positive,7.0
"Kreśli obraz Kuby, jakiej nie oglądamy zwykle na kinowych ekranach.",positive,7.0
"Kino raczej hermetyczne, o specyficznej poetyce i wymagającym rytmie.",positive,6.7
"Poza płynną, niejednoznaczną konwencją w ""Epokowym projekcie"" uderza smutek bijący niemal z każdego ujęcia.",positive,6.7
Granice między sztucznością a prawdą są za mocno zatarte.,negative,3.3
"Spokojny, łagodny, ukazujący perypetie ""Patona"" bez wielkich emocji, obserwacyjnie, z dyskretnym poczuciem humoru.",negative,5.0
Kino z drugiej ligi.,negative,4.0
"Gdyby wszyscy nie mówili, że Paton jest klubową gwiazdą, za nic nie dałoby się tego stwierdzić. Podobnie wyglądają pozostałe elementy tego sztucznego, dość nudnego, niczym niewyróżniającego się filmu.",negative,3.3
"Robi piorunujące wrażenie i zaskakuje równie przyjemnie jak dwa lata temu udało się to ""Whiplash"", a rok temu ""Ex Machina"".",positive,10.0
"Jeżeli kochacie niepokój na ekranie i uwielbiacie ciszę przed burzą, to jesteście kupieni.",positive,9.0
"Ciekawy, świeży pomysł, który przez większą część filmu nie pozwoli wam oderwać się od ekranu.",positive,9.0
"Nadspodziewanie udany, intensywny thriller.",positive,8.5
"Dzięki wyśmienitej produkcji całości okazało się filmem totalnym, takim, który pochłania widza nie w wizualnych orgazmach, ale intelektualnych grach wstępnych.",positive,8.3
Inteligentny i smakomity gatunkowo.,positive,8.3
"Zapowiada się jakby fragment większej całości, którą dopiero będziemy odkrywać. Świata, który może fascynować, intrygować i zaskakiwać. Obok ""Deadpoola"" to największa niespodzianka tego roku - mam nadzieję, że nie ostatnia.",positive,8.0
"Dawno nie było już w kinie tak precyzyjnie napisanego scenariusza, który od początku do końca wodzi nas za nos i robi wolty o 180 stopni w najmniej spodziewanych momentach. Nakręcony małym nakładem finansowym ""Cloverfield Lane 10"" dobitnie pokazuje, że nie liczy się kasa, ale pomysł i to, jak można go sprzedać.",positive,8.0
"Niewiedza widza, to błogosławieństwo dla reżysera, a już w szczególności dla reżysera horroru czy thrillera. Dzięki niej nowy Cloverfield to tak dobry film.",positive,8.0
"Połączenie ""Projektu: Monster"" i ""Cloverfield Lane 10"" nie jest oczywiste i w tym tkwi największa zaleta serii.",positive,8.0
"Thriller zaskakujący na wielu poziomach, trzymający w napięciu i niepewności od początku do końca.",positive,8.0
Okazał się kameralnym thrillerem ze świetną zabawą napięciem.,positive,8.0
"Jest solidnym, minimalistycznym thrillerem, który oczywiście ma też swoje wady.",positive,8.0
"Przez niemal cały seans siedzimy na krawędzi fotela, nasz wzrok szuka kolejnych wskazówek, a umysł gorączkowo usiłuje znaleźć rozwiązanie głównej zagadki.",positive,8.0
"Nie będziecie zawiedzeni, a na 100% zaintrygowani i zaskoczeni do samego końca.",positive,8.0
"Nawet jeżeli końcówka ""Cloverfield Lane 10"" nie przypadnie wam do gustu, nie przekreśla to bardzo dobrej produkcji Dana Trachtenerga, który na prostym pomyśle, stworzył coś, co długo będzie przykładem doskonale rozpisanego i angażującego thrillera.",positive,8.0
Jest dziełem pełnym od początku do końca. Wszystko tu jest na swoim miejscu i niczego nie brakuje.,positive,8.0
"Zgodnie ze złotą zasadą Alfreda Hitchcocka, następuje trzęsienie ziemi. A potem napięcie już tylko rośnie.",positive,8.0
"Na tle przerośniętych efektami specjalnymi, schematycznych do bólu produkcji o podobnej tematyce, ""Cloverfield Lane 10"" prezentuje się naprawdę dobrze.",positive,7.8
"Trachtenberg mógł i powinien z filmu wycisnąć więcej, ale trzeba mu oddać, iż potrafił w zwariowany sposób żonglować znanymi motywami i stworzyć pewną nową jakość.",positive,7.0
"Kawał dobrego thrillera z elementami innych gatunków. Film daleki od doskonałości, jednak będący porządnie zrealizowanym i nienudzącym obrazem, momentami bardzo zaskakującym, który nie rozczaruje żadnego widza.",positive,7.0
"Po dość monotonnym i nie do końca spełnionym ""Projekcie: Monster"", środkowa, czy bardziej druga część rodzącej się serii wchodzi jakościowo co najmniej o jeden schodek wyżej.",positive,7.0
Twórcy niezwykle umiejętnie dawkują napięcie oraz informacje na temat świata przedstawionego.,positive,7.0
"Znajduje wybawienie w dwóch pierwszych segmentach, wspaniale niesionych falą znakomitego tandemu aktorskiego Winstead-Goodman, co z jednej strony czyni do krwi bzdurny finał tym boleśniej frustrującym, z drugiej ratuje film przed osunięciem się w rejony przyciasnej szkolnej rozprawki.",positive,7.0
"Obejrzeć ten film, może niekoniecznie trzeba, ale warto, choćby po to, aby przez niemal godzinę i czterdzieści pięć minut ""wypocząć"" i wejść w pełną napięcia interakcję z porywczym, będącym w doskonałej formie Johnem Goodmanem.",positive,7.0
"Najfajniejsze i najciekawsze w obu filmach z logiem ""cloverfield"" jest bowiem to, że ich fabuły można śmiało odczytywać jako metaforyczne oddanie stanu ducha głównych bohaterów.",positive,7.0
"Fajny pomysł, fajne rozwinięcie, mocno dyskusyjny finał.",positive,7.0
Dawno żaden film tyle razy mnie nie oszukał.,positive,7.0
"Kpi sobie z oczekiwań widza, dostarczając solidnej, acz przewrotnej rozrywki.",positive,7.0
"Kultu brak, ale jak na debiut za kamerą Trachtenberg nie ma czego się wstydzić.",positive,7.0
"Są tutaj momenty zdecydowanie słabsze, ale summa summarum mamy do czynienia z bardzo przyzwoitym dreszczowcem s-f, który nie zawiedzie fanów gatunku.",positive,7.0
"Nic nowego, ale świetnie przyrządzone i podane z gracją.",positive,7.0
"Hitchcockowski suspens, ale finał podzieli widzów.",positive,6.7
"Kameralny dreszczowiec, rozpisany właściwie na troje aktorów. Wszystko działa więc m.in. dzięki świetnym Goodmanowi i Winstead, a także kojarzącej się z postapokalipsą ścieżce dźwiękowej.",positive,6.7
"Nie będzie to dzieło, które zapisze się w historii kina, ale na pewno uzbiera pokaźne grono fanów.",positive,6.5
"Dostarcza dokładnie takich emocji i intelektualnych łamigłówek, jakich należy oczekiwać od poprawnie nakręconego thrillera psychologicznego.",positive,6.5
Operując ogranymi schematami dreszczowca i S-F uzyskano efekt świeży i interesujący. No może jeden drobiazg - butelka whiskey nie zapala się w taki sposób.,positive,6.0
"Atmosfera gęstnieje z minuty na minutę, jednak im dalej w las, to prawie stu dwudziesto minutowy film rozjeżdża się niczym piramidka z kart.",positive,6.0
"Jeden z tych tytułów, po obejrzeniu których człowiek ma ochotę nakopać do tyłków jego autorom. Zaczynają oni z wysokiego ""C"", by zakończyć na niskim ""H"".",negative,5.0
"Jest idealnym przykładem genialnego thrillera, który zostaje doszczętnie zrujnowany przez zakończenie.",negative,5.0
"Jeśli ktoś lubi zwariowany humor nie zawsze z górnej półki, a także jest fanem McCarthy, będzie zadowolony, kto jej nie lubi, na pewno się tym występem do aktorki nie przekona.",negative,5.0
"Mógłby to być sympatyczny film rodzinny o oschłej karierowiczce, która poznaje wartość przywiązania do ludzi, gdyby nie dziesiątki wulgaryzmów oraz kilka średnio udanych aluzji seksualnych.",negative,5.0
"Jest bardzo niezobowiązującą rozrywką, zdecydowanie skierowaną do niewymagających widzów.",negative,4.5
"Zaczyna się zaskakująco dobrze, ale szybko daje do zrozumienia, że nie należy się po niej spodziewać sensownej fabuły.",negative,3.3
"Jest lekką, choć mało zabawną komedią, ale prowadzoną w dobrym tempie. I dobrze, bo przynajmniej szybciej mija czas w oczekiwaniu na koniec tego słabiutkiego filmu...",negative,3.0
